,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2016.0,Mini,cooper,s,WMWRE33586TL20673,excellent,124000,4,white,manual,coupe,clean,fwd,gas,6400.0
1,2010.0,Mercedes,BENZ,E63,,good,102000,8,silver,automatic,sedan,clean,rwd,gas,21000.0
2,2002.0,Volkswagen,New,Beetle,3VWCK21C82M411879,excellent,130417,4,grey,automatic,coupe,clean,fwd,gas,3800.0
3,2019.0,Chevrolete,Camaro,,,like,5798,8,white,manual,,clean,rwd,gas,42000.0
4,2005.0,Bmw,325xi,,,excellent,170300,6,blue,automatic,wagon,clean,4wd,gas,4900.0
5,2007.0,Bmw,X3,3.0si,WBXPC93497WF10935,excellent,134600,6,white,automatic,SUV,clean,4wd,gas,7500.0
6,2012.0,Mercedes,Benz,Sprinter,,good,114000,,white,automatic,van,clean,,diesel,22000.0
7,2005.0,Mercedes,E320,,WDBUF65J35A717917,excellent,110000,6,silver,automatic,sedan,clean,rwd,gas,5500.0
8,1952.0,chevy,deluxe,,,,10,8,,automatic,,salvage,rwd,gas,15000.0
9,2000.0,chevrolet,3500,,,,112000,,,automatic,,clean,,gas,6000.0
10,2011.0,Honda,pilot,touring,,excellent,94000,6,white,automatic,SUV,clean,4wd,gas,16900.0
11,2011.0,mercedes,benz,glk,WDCGG5GB7BF551342,excellent,123399,6,black,automatic,SUV,clean,rwd,gas,7995.0
12,2003.0,volkswagen,passat,,,excellent,107100,4,silver,manual,sedan,clean,fwd,gas,3500.0
13,1993.0,chevy,geo,prizm,,fair,171358,4,blue,automatic,sedan,clean,fwd,gas,1000.0
14,2001.0,Honda,prelude,,,,177122,,,manual,,clean,,gas,2500.0
15,2012.0,Volkswagen,2012,Sportswagon,,excellent,58600,5,blue,automatic,wagon,clean,fwd,gas,10500.0
16,2012.0,Bmw,335i,,WBA3A9C57CF474869,excellent,93500,6,blue,automatic,sedan,clean,rwd,gas,20000.0
17,2004.0,Mini,cooper,s,,good,119000,4,grey,manual,hatchback,clean,fwd,gas,3900.0
18,2008.0,Ford,f350,f-350,1FDWF35R78ED97704,good,204820,8,white,automatic,truck,clean,4wd,diesel,12900.0
19,2003.0,Honda,Element,,,excellent,150000,4,orange,manual,SUV,clean,4wd,gas,7500.0
20,2000.0,bluebird,tc2000,,1BAANBXA3YF087797,good,272301,6,yellow,automatic,bus,clean,rwd,diesel,6900.0
21,2012.0,tesla,s,,,excellent,56333,,black,other,sedan,clean,rwd,electric,35995.0
22,2003.0,Toyota,avalon,xls,,excellent,279498,6,silver,automatic,,clean,,gas,4000.0
23,2006.0,Audi,a3,2.0t,WAUNF78P46A060796,good,146000,4,grey,automatic,hatchback,clean,fwd,gas,4500.0
24,2016.0,hyundai,sonata,,,good,53575,6,,automatic,,clean,,gas,9000.0
25,2014.0,dodge,grand,caravan,2C7WDGBG6ER220342,excellent,222851,6,,automatic,van,clean,fwd,gas,7999.0
26,2006.0,acura,rsx,,,good,167000,4,orange,manual,coupe,clean,fwd,gas,7300.0
27,2010.0,Mercedes,cl550,4matic,,excellent,95000,8,silver,automatic,coupe,clean,4wd,gas,22000.0
28,1968.0,Ford,Mustang,,,fair,66666,,green,automatic,,clean,,gas,7200.0
29,2006.0,Porsche,Cayman,S,,excellent,26158,6,blue,manual,coupe,clean,rwd,gas,30000.0
30,2007.0,Ford,Escape,Hybrid,1FMYU49H27KB68028,excellent,129369,4,white,automatic,SUV,clean,fwd,gas,4900.0
31,2015.0,Bmw,x5,xdrive35i,,excellent,73180,6,white,automatic,SUV,clean,4wd,gas,24000.0
32,2009.0,Gmc,topkick,c7500,1GDJ7C1G79F408787,good,65015,8,orange,manual,truck,clean,rwd,gas,42900.0
33,2001.0,Toyota,tacoma,double,5TEHN72N11Z747579,good,245000,6,silver,automatic,truck,clean,4wd,gas,12800.0
34,2010.0,chevrolet,malibu,,,good,116000,4,blue,automatic,sedan,clean,rwd,gas,4999.0
35,1994.0,Toyota,tercel,,,good,123000,4,,automatic,,clean,,gas,1250.0
36,1986.0,Toyota,pickup,,,,250000,4,,manual,,clean,,gas,6800.0
37,2007.0,Gmc,3500,utility,1GDHC34U97E152360,good,112320,8,white,automatic,truck,clean,rwd,gas,9999.0
38,2010.0,Ford,e150,econoline,1FMNE11L67DA97290,excellent,118000,8,white,automatic,van,clean,,gas,9900.0
39,2006.0,Volkswagen,beetle,,,excellent,90918,5,green,automatic,hatchback,clean,fwd,gas,4950.0
40,2003.0,suzuki,aerio,,,,200000,4,,automatic,,clean,,gas,975.0
41,2007.0,Lexus,es,350,,good,188681,6,white,automatic,sedan,clean,fwd,gas,6800.0
42,2000.0,dodge,intrepid,,,,99000,,,automatic,,clean,,gas,1700.0
43,2007.0,chevrolet,2500,suburban,3GNGC26K77G281334,excellent,147980,8,white,automatic,truck,clean,rwd,gas,6999.0
44,1996.0,jeep,cherokee,,,good,257000,6,,automatic,SUV,clean,4wd,gas,5500.0
45,1997.0,Ford,f-250,Super,,good,220000,8,,automatic,offroad,clean,4wd,diesel,14000.0
46,2013.0,Toyota,Prius,V,JTDZN3EU2D3232271,excellent,100000,4,grey,automatic,hatchback,clean,fwd,hybrid,11300.0
47,2005.0,Volkswagen,Beetle,,,,105000,,,manual,,clean,,gas,2850.0
48,2000.0,nissan,frontier,xe,,,211442,,,manual,,clean,,gas,3500.0
49,1986.0,Volkswagen,vanagon,westfalia,,,197950,,brown,manual,,clean,,gas,15500.0
50,2005.0,caddilac,escalade,esv,,,200000,,,automatic,,clean,,gas,5800.0
51,2012.0,Toyota,Prius,Hybrid,JTDZN3EU7C3167559,excellent,76000,,blue,automatic,hatchback,clean,,hybrid,12200.0
52,2004.0,jeep,liberty,,,,153000,,,automatic,,clean,,gas,2900.0
53,2011.0,maserati,quattroporte,s,,excellent,81000,8,black,automatic,sedan,clean,rwd,gas,20000.0
54,2008.0,Mazda,CX-7,,JM3ER293080192222,excellent,116064,4,silver,automatic,SUV,clean,fwd,gas,5800.0
55,2000.0,volkswagen,eurovan,weekender,WV2NH4705YH149627,good,189000,6,blue,automatic,,clean,,gas,19900.0
56,1968.0,volvo,122s,,,fair,100000,4,white,manual,coupe,clean,rwd,gas,2000.0
57,2005.0,Honda,element,lx,,excellent,200000,4,,manual,other,clean,,gas,3500.0
58,2003.0,Toyota,Corolla,,,,135000,4,,manual,,clean,,gas,4500.0
59,2002.0,nissan,xterra,,,excellent,155000,6,white,automatic,SUV,clean,4wd,gas,5700.0
60,2007.0,Toyota,rav4,limited,JTMBK34V075038173,good,270000,6,white,automatic,SUV,clean,4wd,gas,5600.0
61,2010.0,Lexus,rx,350,JTJZK1BA4A2409876,excellent,79221,6,blue,automatic,SUV,clean,fwd,gas,16499.0
62,2016.0,Ford,fusion,titanium,3FA6P0K94GR150842,excellent,69235,4,grey,automatic,sedan,clean,fwd,gas,12500.0
63,2016.0,Ford,transit,t150,,salvage,8000,8,white,automatic,mini-van,salvage,fwd,gas,18770.0
64,2001.0,Bmw,330i,,,good,194000,6,grey,automatic,sedan,clean,rwd,gas,4100.0
65,2004.0,acura,tsx,,,fair,152657,4,silver,automatic,sedan,clean,fwd,gas,4500.0
66,2015.0,nissan,rogue,,,excellent,119000,4,blue,automatic,,clean,fwd,gas,8000.0
67,2003.0,Toyota,Camry,Le,,,84000,4,,automatic,,clean,,gas,4900.0
68,2017.0,Volvo,XC90,T6,YV4A22PL7H1156677,excellent,71000,4,grey,automatic,SUV,clean,4wd,gas,32995.0
69,2007.0,Lexus,rx,400h,JTJHW31U672019636,excellent,180000,6,,automatic,SUV,clean,4wd,gas,6950.0
70,2012.0,Ford,F-150,4x4,,good,208000,6,white,automatic,pickup,clean,4wd,gas,14800.0
71,2013.0,Toyota,camry,hybrid,,good,96458,4,grey,automatic,sedan,clean,fwd,hybrid,10500.0
72,2015.0,Lexus,is250,,,,73000,,white,automatic,,clean,,gas,21500.0
73,2015.0,Ford,transit,350,1FTSW2CGXFKB04830,like,130000,6,white,automatic,,clean,rwd,gas,19999.0
74,2018.0,nissan,leaf,sl,,excellent,42000,,white,automatic,hatchback,clean,fwd,electric,16750.0
75,1991.0,Toyota,4runner,,,,71000,,,manual,,clean,,gas,18900.0
76,1996.0,nissan,frontier,,,,201000,,,manual,,clean,,gas,4500.0
77,2007.0,volvo,xc90,3.2,YV4CN982571377627,like,158678,,black,automatic,SUV,clean,fwd,gas,5300.0
78,2017.0,Honda,civic,ex,,excellent,8472,4,blue,automatic,coupe,clean,fwd,gas,19000.0
79,2007.0,Audi,a4,,,good,102555,4,white,automatic,sedan,salvage,4wd,gas,2900.0
80,2005.0,Honda,accord,hybrid,,excellent,125000,6,,automatic,,clean,,gas,4900.0
81,2012.0,Nissan,Leaf,,,good,59731,other,red,automatic,hatchback,clean,fwd,electric,4000.0
82,2011.0,Toyota,highlander,limited,,excellent,48300,6,silver,automatic,SUV,clean,4wd,gas,18500.0
