,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1994.0,Chevy,HD,30,,good,168000,8,white,automatic,truck,clean,rwd,gas,7800.0
1,2003.0,chevy,tahoe,,,good,207000,8,white,automatic,SUV,clean,4wd,gas,4500.0
3,2001.0,volkswagen,jetta,,,excellent,148000,,blue,other,other,clean,,other,3600.0
4,2001.0,toyota,camry,,,excellent,147500,4,white,automatic,sedan,clean,fwd,gas,4350.0
5,2003.0,Ford,F-150,4.6L,,good,103000,8,red,automatic,pickup,clean,rwd,gas,6400.0
6,2004.0,ford,f-250,super,,fair,100000,8,grey,automatic,truck,lien,4wd,diesel,4000.0
7,1965.0,Ford,mustang,,,good,50000,6,black,automatic,,clean,rwd,gas,19900.0
8,2007.0,honda,accord,,,good,176000,,,manual,,clean,,gas,4375.0
9,2008.0,honda,cr-v,,,,152000,4,silver,automatic,,clean,,gas,8450.0
10,2005.0,voltswagon,jetta,,3VWSF71K85M642287,excellent,164603,5,white,automatic,sedan,clean,fwd,gas,6500.0
11,2005.0,audi,a4,,,good,88000,6,blue,automatic,sedan,clean,4wd,gas,4300.0
13,1997.0,Toyota,celica,Supra,,like,103000,4,,manual,convertible,clean,,gas,9999.0
14,2018.0,mercedes-benz,e400,,,excellent,41000,6,,automatic,,clean,rwd,gas,39900.0
15,2005.0,ford,f350,super,,excellent,220000,8,red,automatic,truck,clean,4wd,diesel,20000.0
16,2017.0,subaru,impreza,sport,4S3GKAK64H1628293,excellent,11810,4,red,manual,sedan,clean,4wd,gas,19995.0
17,2009.0,jeep,wrangler,rubicon,,excellent,60000,6,red,automatic,offroad,clean,4wd,gas,28000.0
18,2000.0,CHRYSLER,LHS,,,excellent,134000,6,white,automatic,sedan,clean,fwd,gas,2490.0
19,2008.0,bmw,328i,,,excellent,130000,6,,automatic,,clean,rwd,gas,6000.0
20,1998.0,honda,accord,,,,145000,,,automatic,,clean,,gas,1650.0
21,2005.0,nissan,frontier,,,,160000,,,automatic,,clean,,gas,7800.0
22,2012.0,Nissan,Versa,sv,,good,133000,4,blue,automatic,sedan,clean,fwd,gas,4900.0
23,1996.0,Nissan,pickup,,,good,249000,,,manual,,clean,,gas,3350.0
24,2003.0,infiniti,m45,,,,150000,,,automatic,,clean,,gas,2300.0
