,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2007.0,Chrysler,PT,Cruiser,3A4FY58B17T523184,excellent,107907,4,grey,automatic,hatchback,clean,,gas,2400.0
1,2008.0,Subaru,Legacy,,,excellent,110000,4,grey,automatic,sedan,clean,4wd,gas,5300.0
2,2013.0,toyota,prius,,,,183000,,,automatic,,clean,,gas,5900.0
3,2015.0,Ram,1500,,,good,78500,8,black,automatic,pickup,clean,rwd,gas,21900.0
4,2007.0,pontiac,torrent,awd,,,209000,,,automatic,,clean,4wd,gas,3500.0
5,2008.0,Mercedes,E350,,WDBUF56X58B229113,excellent,87000,6,black,automatic,sedan,clean,rwd,gas,7700.0
6,1986.0,Ferrari,328,GTS,,,81000,,,manual,,clean,,gas,77000.0
7,1998.0,toyota,tacoma,,,good,118000,6,white,automatic,,clean,rwd,gas,5250.0
8,2020.0,honda,civic,sport,,like,6800,,white,automatic,sedan,clean,,gas,20000.0
9,2013.0,Mercedes,Benz,ML63,,excellent,35761,8,black,automatic,SUV,clean,4wd,gas,38000.0
10,1997.0,Mercedes,E320,,,excellent,265000,6,brown,automatic,,clean,rwd,gas,3500.0
11,2009.0,Jaguar,Cf,Luxury,,excellent,76000,8,,automatic,sedan,clean,rwd,gas,9500.0
12,2004.0,mercedes,benz,e320,,good,157000,6,blue,automatic,sedan,clean,,gas,6995.0
13,2000.0,HONDA,CR-V,,JHLRD1762YC052562,good,159000,4,,manual,,clean,,gas,3500.0
14,2012.0,mercedes,benz,c250,,excellent,91000,,black,automatic,,clean,rwd,gas,8700.0
15,2011.0,chevy,suburban,,1GNSCHE01BR177914,good,258646,8,black,automatic,SUV,clean,rwd,gas,8000.0
16,2010.0,Ford,F-250,Crew,,excellent,138850,8,,automatic,truck,clean,4wd,diesel,26800.0
17,2011.0,toyota,prius,,,excellent,155585,,silver,automatic,,clean,,hybrid,4900.0
18,2011.0,nissan,maxima,,,like,120000,6,white,automatic,,clean,,gas,10700.0
19,2001.0,toyota,sienna,le,,,250000,6,,automatic,,clean,fwd,gas,3000.0
20,2002.0,toyota,prius,hybrid,,excellent,160000,4,,automatic,,clean,,hybrid,2600.0
21,2001.0,ford,f250,diesel,,fair,352000,8,silver,automatic,pickup,clean,4wd,diesel,3800.0
22,2016.0,honda,civic,,,good,160000,,white,automatic,,clean,,gas,8000.0
23,2016.0,audi,allroad,,WA1UFAFL0GA001901,good,73000,4,black,automatic,wagon,clean,4wd,gas,22000.0
24,2012.0,mercedes-benz,sls,amg,,,28,,,automatic,,clean,,gas,240000.0
25,2019.0,GMC,Sierra,1500,1GTP9EEL5KZ153573,good,23004,8,grey,automatic,truck,clean,4wd,gas,53750.0
26,2011.0,bmw,328i,,WBAPH5C51BA446843,excellent,71200,6,grey,automatic,sedan,clean,rwd,gas,9990.0
27,2005.0,dodge,caravan,,1D4GP25BX5B346359,fair,185472,6,grey,automatic,mini-van,clean,fwd,gas,800.0
28,2018.0,Ford,Mustang,GT,,like,12886,8,black,manual,coupe,clean,rwd,gas,35000.0
29,2014.0,volkswagon,eos,,,like,33520,4,white,automatic,convertible,clean,fwd,gas,19000.0
30,2019.0,ford,f-150,,,excellent,22000,6,,automatic,,clean,,gas,68000.0
31,2020.0,tesla,x,,,,12000,,,automatic,,clean,,electric,89000.0
32,2001.0,porsche,boxster,,,,105000,,,manual,,clean,,gas,8500.0
33,2019.0,BMW,X3,M40i,,like,9500,,white,automatic,,clean,,gas,51950.0
34,2006.0,Toyota,mini,van,,good,174624,6,blue,automatic,mini-van,clean,fwd,gas,4800.0
35,2015.0,Mercedes,Benz,C63,,excellent,20528,8,silver,automatic,coupe,clean,rwd,gas,45500.0
36,2010.0,toyota,camry,,4T1BF3EK1AU087951,good,85000,4,brown,automatic,sedan,salvage,fwd,gas,5900.0
37,2011.0,bmw,535i,,,excellent,59000,6,,automatic,sedan,clean,,gas,14999.0
38,1988.0,Volvo,240DL,,,,250000,,,manual,,clean,,gas,1200.0
39,2014.0,toyota,camry,,,excellent,101000,4,grey,automatic,sedan,clean,fwd,gas,11000.0
40,2013.0,honda,accord,crosstour,,,133000,,,automatic,,salvage,,gas,5950.0
41,2006.0,Honda,accord,,,,121500,4,black,automatic,,salvage,,gas,3000.0
42,1997.0,Honda,Magna,,,,43027,,,automatic,,clean,,gas,2800.0
43,2006.0,MERCEDES,BENZ,C230,,excellent,160000,6,,automatic,sedan,clean,,gas,4500.0
44,2010.0,ford,fusion,,,excellent,59200,4,silver,automatic,sedan,clean,fwd,gas,6700.0
45,2006.0,toyota,prius,hybrid,,excellent,108000,4,blue,automatic,hatchback,clean,fwd,hybrid,5000.0
46,2018.0,toyota,camry,,,excellent,36600,4,grey,automatic,sedan,clean,fwd,gas,22999.0
47,2003.0,honda,civic,,,,130000,,,automatic,,clean,,gas,3200.0
48,2008.0,toyota,rav4,,,good,159208,,white,automatic,SUV,clean,,gas,4800.0
49,2011.0,toyota,corolla,s,,good,97830,,,automatic,,clean,,gas,7500.0
50,2011.0,toyota,prius,,,excellent,124000,4,white,automatic,,salvage,,gas,5900.0
51,2012.0,nissan,frontier,,,good,49000,,silver,automatic,truck,clean,fwd,gas,7500.0
52,2017.0,acura,tlx,,19UUB2F54HA004795,excellent,20739,6,white,automatic,sedan,clean,fwd,gas,21000.0
53,2008.0,Toyota,Prius,,,good,130350,4,red,automatic,hatchback,clean,fwd,gas,7000.0
54,2007.0,acura,mdx,sh-awd,,excellent,179000,6,grey,automatic,SUV,clean,4wd,gas,75.0
55,1965.0,Volvo,PV,544,421045,good,45017,4,white,manual,coupe,clean,rwd,gas,6000.0
56,2017.0,mercedes-benz,sprinter,2500,,like,13000,,,automatic,,clean,4wd,diesel,99900.0
57,2015.0,BMW,328i,,,excellent,60085,4,black,automatic,sedan,clean,rwd,gas,14800.0
58,1986.0,dodge,ram,b250,,excellent,1000,5,blue,automatic,van,clean,rwd,gas,11000.0
59,1992.0,ford,f250,diesel,,excellent,134000,other,white,automatic,truck,clean,4wd,diesel,13500.0
60,2014.0,ford,f150,regular,,,115000,,,automatic,,clean,,gas,10800.0
61,1974.0,bmw,2002,,,,999999,,,manual,,clean,,gas,9700.0
62,2019.0,toyota,corolla,,,like,16500,4,,automatic,,clean,fwd,gas,19650.0
63,2006.0,honda,accord,,,good,86000,4,custom,automatic,sedan,clean,fwd,gas,6900.0
