,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2008.0,bmw,3,series,,excellent,62000,6,,automatic,,clean,,gas,8280.0
1,2011.0,honda,civic,sedan,,excellent,50650,,white,manual,sedan,clean,fwd,gas,7900.0
2,2005.0,Dodge,Magnum,,,excellent,1730000,6,white,automatic,hatchback,missing,4wd,gas,2900.0
3,2016.0,Mercedes,Benz,Sprinter,,excellent,37000,4,grey,automatic,bus,clean,rwd,diesel,70000.0
4,2012.0,mini,cooper,,,excellent,109000,4,grey,automatic,hatchback,clean,fwd,gas,5500.0
5,2012.0,kia,forte,ex,,excellent,125000,4,black,automatic,sedan,clean,fwd,gas,4300.0
6,2000.0,honda,accord,,,good,173345,6,silver,automatic,sedan,clean,,gas,2850.0
7,1994.0,ford,f-150,,,,244000,,,automatic,,clean,,gas,8000.0
8,2007.0,bmw,328i,,,excellent,170000,6,,automatic,,clean,rwd,gas,4600.0
9,2012.0,bmw,328i,,,excellent,150000,4,black,automatic,sedan,clean,,gas,8999.0
10,2016.0,Porsche,Cayenne,,WP1AA2A25GLA04971,excellent,66000,,white,automatic,SUV,clean,4wd,gas,34500.0
11,2009.0,chevrolet,cobalt,ss,1G1AP18XX97211422,good,132000,4,,manual,coupe,clean,fwd,gas,6000.0
12,1995.0,jeep,wrangler,,,good,225000,4,,manual,SUV,clean,4wd,gas,7500.0
13,2004.0,honda,accord,,,good,125000,4,custom,automatic,sedan,clean,fwd,gas,4800.0
14,2015.0,freightliner,sprinter,,,excellent,111000,,,automatic,,clean,,diesel,29000.0
15,2014.0,honda,accord,,,,87000,,,automatic,,clean,,gas,13500.0
16,2000.0,Toyota,Avalon,,,,179000,,,automatic,,clean,,gas,2400.0
17,2002.0,MAZDA,MPV,,,,144000,,,automatic,,clean,,gas,1750.0
18,2000.0,lexus,gs,300,JT8BD68S9Y0087171,good,177000,6,white,automatic,sedan,clean,,gas,2500.0
19,1995.0,Jeep,Grand,Cherokee,,good,190000,8,brown,automatic,SUV,salvage,4wd,gas,3500.0
20,2011.0,mercedes,benz,e350,,like,65000,6,blue,automatic,sedan,salvage,rwd,gas,9800.0
21,2000.0,chevrolet,camaro,z28,,,150000,,,manual,hatchback,clean,rwd,gas,8000.0
22,2005.0,Honda,Civic,VP,1HGEM211351051447,fair,156400,4,blue,manual,coupe,clean,fwd,gas,1700.0
23,2005.0,mercedes-benz,slk350,,,excellent,120000,6,silver,automatic,coupe,clean,rwd,gas,6900.0
24,1998.0,vw,bug,,3VWBB61C1WM031954,,123000,,,automatic,,clean,,gas,3900.0
25,2009.0,honda,cr-v,,,excellent,98300,4,blue,automatic,SUV,clean,,gas,7400.0
26,2016.0,toyota,corolla,s,,like,52000,4,white,automatic,sedan,salvage,fwd,gas,10400.0
27,2004.0,jeep,grand,cherokee,,excellent,172059,8,custom,automatic,SUV,clean,rwd,gas,3500.0
28,2013.0,Hyundai,Elantra,Limited,,,86000,,grey,automatic,sedan,clean,,gas,7495.0
29,2003.0,saab,9-5,,,,114000,,,automatic,,clean,,gas,2800.0
30,2015.0,toyota,prius,c,JTDKDTB30F1579595,like,108000,4,silver,automatic,hatchback,clean,fwd,hybrid,7800.0
31,1991.0,Toyot,Land,Cruiser,,,135000,,,automatic,,clean,,diesel,19800.0
32,1996.0,Chevrolet,Corsica,,,fair,63000,6,white,automatic,,clean,,gas,1100.0
