,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1991.0,honda,civic,,,good,127658,4,green,automatic,sedan,clean,,gas,2800.0
1,1990.0,-volkswagen,Bay,Window-Westy,,,100000,,,other,,clean,,other,1.0
2,2006.0,volkswagen,jetta,2.5,,good,182000,5,blue,automatic,sedan,clean,fwd,gas,2200.0
3,2005.0,chevrolet,avalanche,,,excellent,120000,,,automatic,,clean,4wd,gas,8900.0
4,2006.0,Chevy,Silverado,,,excellent,135456,8,blue,automatic,truck,clean,rwd,gas,9500.0
5,2006.0,Subaru,Outback,,,excellent,132000,,blue,automatic,,clean,4wd,gas,8500.0
6,1971.0,GMC,RALLY,STX,,good,77000,8,,automatic,,clean,rwd,gas,5500.0
7,2008.0,toyota,prius,,,like,50000,4,,automatic,,clean,,hybrid,8500.0
8,2004.0,volvo,xc90,,YV1CM59HX41112287,fair,185422,5,silver,automatic,SUV,clean,4wd,gas,5000.0
9,2004.0,Dodge,Caravan,,,excellent,75675,6,white,automatic,van,clean,fwd,gas,11000.0
10,2000.0,toyota,corolla,,,good,174000,4,silver,automatic,sedan,clean,fwd,gas,2800.0
11,1999.0,lexus,ls,400,,,169008,8,,automatic,sedan,clean,rwd,gas,7000.0
12,2003.0,honda,accord,ex,,fair,305000,6,black,automatic,coupe,clean,fwd,gas,500.0
13,1992.0,Dodge,D,series,,good,35369,6,white,automatic,truck,clean,rwd,gas,13800.0
14,2008.0,chevrolet,express,G1500,,,250000,6,,automatic,,clean,,gas,2700.0
15,2002.0,ford,ranger,,,excellent,187000,6,white,automatic,truck,clean,rwd,gas,6000.0
16,2009.0,bmw,535i,,,excellent,88600,,blue,automatic,sedan,clean,rwd,gas,7500.0
17,2001.0,gmc,yukon,xl,3GKFK16T91G141601,good,78000,8,grey,automatic,SUV,clean,4wd,gas,5400.0
18,2012.0,subaru,forester,,,like,159000,4,white,automatic,,clean,4wd,gas,9600.0
19,2007.0,MCIN,J4500,,2M93JMPA87W064060,good,553145,6,grey,automatic,other,clean,rwd,diesel,40000.0
20,2001.0,toyota,sienna,,,good,174427,6,green,automatic,mini-van,clean,fwd,gas,2800.0
21,1960.0,mg,midget,,,,100000,,,manual,convertible,missing,,gas,650.0
22,1996.0,Ford,F-250,,,excellent,69920,8,white,automatic,pickup,clean,4wd,diesel,21000.0
23,2009.0,Toyota,Corolla,XLE,,good,186000,4,red,automatic,sedan,clean,fwd,gas,5500.0
25,2013.0,kia,soul,+,,good,96800,4,black,automatic,SUV,clean,fwd,gas,5000.0
26,2014.0,nissan,sentra,,,excellent,101000,4,,automatic,,clean,fwd,gas,6900.0
27,2006.0,chevrolet,monte,carlo,,excellent,65213,6,white,automatic,,clean,fwd,gas,5200.0
28,2002.0,toyota,corolla,,,good,124000,4,red,manual,,clean,fwd,gas,2495.0
29,2008.0,lexus,es,350,,excellent,116000,6,brown,automatic,sedan,clean,fwd,gas,8950.0
30,2001.0,Toyota,Highlander,,,good,220000,6,green,automatic,SUV,clean,4wd,gas,3800.0
31,2009.0,bmw,335i,,,excellent,77000,6,black,automatic,coupe,clean,rwd,gas,14500.0
32,1968.0,buick,wildcat,,,good,1,8,red,automatic,coupe,clean,rwd,gas,5500.0
33,2000.0,toyota,camry,,,good,143111,6,,automatic,sedan,clean,rwd,gas,3450.0
34,2012.0,toyota,corolla,,,excellent,58000,4,white,automatic,sedan,clean,4wd,gas,9000.0
36,2011.0,ford,crown,victoria,2FABP7EV6BX139173,excellent,83635,8,white,automatic,sedan,clean,rwd,gas,7850.0
37,2013.0,Hitachi,ZX75UR-3,,,excellent,1,,,other,,clean,,other,49000.0
38,1996.0,ford,f-150,,,good,213000,8,black,automatic,truck,clean,rwd,gas,6750.0
39,2002.0,Cadillac,DeVille,,,,113000,,,automatic,,clean,,gas,3900.0
40,2008.0,honda,ridgeline,,,good,300000,6,grey,automatic,truck,clean,4wd,gas,2700.0
41,2003.0,honda,element,,,good,206770,4,silver,automatic,,clean,fwd,gas,4200.0
42,2004.0,Honda,CR-V,EX,,good,115200,4,white,automatic,SUV,clean,4wd,gas,6400.0
