,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2005.0,infinity,fx35,,,good,147000,,silver,automatic,,clean,,gas,5500.0
1,2005.0,chrysler,pt,cruiser,,excellent,97609,,purple,automatic,,clean,,gas,5900.0
2,2008.0,Toyota,Prius,,,,156000,,,automatic,,clean,,gas,5100.0
3,2015.0,CAYMAN,GTS,,,excellent,95700,6,grey,manual,coupe,clean,rwd,gas,50000.0
4,2010.0,Toyota,prius,,,good,140882,4,,automatic,,clean,,gas,6700.0
5,1994.0,Jeep,Wrangler,,1J4FY29S8RP474828,excellent,61000,6,black,manual,offroad,clean,4wd,gas,16800.0
6,2004.0,Lincoln,town,car,,excellent,110000,8,silver,automatic,offroad,clean,rwd,gas,4200.0
7,1965.0,Chevy,c60,,,excellent,100000,8,custom,automatic,convertible,clean,rwd,other,3000.0
8,1996.0,Honda,Civic,,,,150000,,,automatic,,clean,,gas,2200.0
9,1960.0,Chevy,CORVAIR,,,excellent,100000,5,custom,manual,coupe,clean,rwd,other,1500.0
10,2020.0,Ford,F450,,,,25000,,,automatic,,clean,,diesel,75000.0
12,2005.0,honda,odyssey,exl,,,149000,6,,automatic,,salvage,,gas,4300.0
13,1971.0,Land-Rover,Safari,Wagon,,like,14000,6,green,manual,other,clean,4wd,gas,79800.0
14,2013.0,BMW,x5,,,like,92000,8,,automatic,,clean,4wd,gas,22000.0
15,2005.0,acura,tl,3.2,,salvage,160000,6,,automatic,sedan,salvage,,gas,2400.0
16,2006.0,Toyota,Prius,,,excellent,243340,4,silver,automatic,sedan,clean,,gas,2800.0
17,2018.0,ford,f350,super,,,27600,,,automatic,,clean,,gas,40000.0
18,2009.0,vw,routan,sel,,,149000,,,automatic,,clean,,gas,4500.0
19,2009.0,BMW,328i,,,good,156000,,silver,automatic,sedan,clean,fwd,gas,4950.0
20,2001.0,Honda,Accord,,,fair,217278,6,white,automatic,coupe,clean,,gas,1649.0
21,2003.0,lexus,ls,430,,good,115778,8,,automatic,,clean,,gas,6600.0
22,2012.0,honda,fit,,,,80857,,,automatic,,salvage,,gas,5500.0
23,2006.0,bmw,325xi,,,good,90000,6,,automatic,,clean,4wd,gas,6900.0
24,2016.0,Subaru,2016,,,like,32000,,,automatic,,clean,,gas,17000.0
25,2008.0,GMC,Yukon,XL,1GKGK26K08R177964,good,290000,8,,automatic,SUV,clean,4wd,gas,7500.0
26,2009.0,Honda,Accord,,,excellent,152000,4,silver,automatic,sedan,clean,fwd,gas,5500.0
27,2001.0,toyota,rav4,,,salvage,260000,4,blue,automatic,SUV,clean,4wd,gas,1500.0
