,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2005.0,honda,pilot,,,fair,270000,6,,automatic,,clean,4wd,gas,2300.0
1,2014.0,lexus,rx,350,,excellent,91000,,grey,automatic,,clean,,gas,17900.0
2,2015.0,toyota,prius,,,excellent,78000,4,silver,automatic,hatchback,salvage,fwd,gas,10400.0
3,2006.0,Toyota,sienna,,,excellent,139000,6,,automatic,mini-van,clean,fwd,gas,4700.0
4,2013.0,Toyota,Prius,,,good,139000,4,blue,automatic,sedan,clean,fwd,gas,6900.0
5,1995.0,ford,explorer,,,good,100000,6,red,automatic,SUV,clean,4wd,gas,2500.0
6,2004.0,volkswagen,passat,,,,136312,,,automatic,,clean,,gas,1000.0
7,2015.0,gmc,acadia,,,excellent,72392,6,silver,automatic,SUV,clean,fwd,gas,14750.0
8,2015.0,bmw,650i,convertible,WBAYP9C54FD169771,excellent,42000,8,black,automatic,convertible,clean,,gas,35900.0
9,2015.0,chevrolet,camaro,,,excellent,43000,6,blue,automatic,,salvage,,gas,10500.0
10,2013.0,international,durastar,4300,,,191720,,,automatic,,clean,,diesel,36800.0
11,2017.0,ford,transit,connect,,excellent,48711,4,white,automatic,van,clean,,gas,
12,2010.0,dodge,grand,caravan,,fair,151983,6,silver,automatic,mini-van,clean,fwd,gas,4000.0
13,2013.0,honda,accord,exl,,excellent,75000,6,silver,automatic,,salvage,,gas,7400.0
14,2010.0,ford,focus,ses,,excellent,63000,4,grey,automatic,sedan,clean,rwd,gas,6000.0
15,2007.0,Toyota,Prius,,,good,86000,4,red,automatic,hatchback,clean,,hybrid,5999.0
16,1985.0,toyota,pickup,,,,186444,,,manual,,clean,,gas,19324.0
17,2012.0,toyota,tundra,4wd,,excellent,68000,8,blue,automatic,,salvage,4wd,gas,20500.0
18,2007.0,mercedes-benz,s550,,,excellent,108000,8,,automatic,,clean,,gas,9700.0
20,2017.0,ford,focus,sel,1FADP3M29HL319648,good,41700,4,blue,automatic,hatchback,clean,fwd,gas,11000.0
21,1994.0,Chevy,P30,,,,100000,,,automatic,,clean,,gas,42000.0
22,1959.0,morris,minor,1000,,fair,99999,4,,manual,sedan,salvage,rwd,gas,1500.0
23,2012.0,Chevrolet,sonic,,,excellent,107000,4,,manual,,clean,,gas,4900.0
24,1969.0,VW,Westy,,,,999999,4,,manual,,clean,rwd,gas,9500.0
26,2013.0,chevrolet,cruze,,,,90677,,,automatic,,clean,,gas,6800.0
27,2001.0,chrysler,sebring,,,,74000,,,automatic,,clean,,gas,2600.0
28,2009.0,volkswagen,passat,,,,118000,4,,automatic,,clean,,gas,3999.0
29,1999.0,Toyota,Tacoma,,,,200000,4,,automatic,,clean,rwd,gas,4900.0
30,1995.0,Toyota,Landcruiser,,,,353000,,,automatic,,clean,,gas,5500.0
31,2006.0,jeep,wrangler,tj,1J4FA39S36P777912,excellent,66570,6,blue,manual,,clean,fwd,gas,19750.0
32,2006.0,toyota,tundra,,,good,315000,8,,automatic,truck,clean,rwd,gas,7300.0
33,2004.0,lexus,rx,330,JTJGA31UX40002792,like,129433,6,silver,automatic,SUV,clean,fwd,gas,7200.0
34,2013.0,kia,soul,,,excellent,89000,,white,automatic,hatchback,clean,,gas,6600.0
35,2014.0,chevrolet,silverado,1500,,excellent,160000,6,,automatic,pickup,clean,fwd,gas,15500.0
36,2013.0,volkswagen,gti,,,excellent,101000,4,black,manual,hatchback,salvage,fwd,gas,7900.0
37,1998.0,ford,econoline,,1FTPE242XWHA32505,good,133810,,white,manual,van,clean,,gas,5800.0
38,2013.0,kia,soul,,,excellent,89000,,white,automatic,,clean,,gas,6600.0
39,1999.0,chevrolet,corvette,,,like,38000,8,,automatic,,clean,rwd,gas,15000.0
40,2017.0,jeep,renegade,latitude,,like,12000,4,white,automatic,SUV,salvage,fwd,gas,12900.0
41,2010.0,toyota,corolla,,,good,150000,,,automatic,,clean,,gas,4500.0
42,2012.0,honda,fit,sport,,excellent,112000,4,,automatic,,clean,,gas,5875.0
43,2012.0,Toyota,RAV4,,,excellent,72000,4,red,automatic,SUV,salvage,fwd,gas,12900.0
44,2013.0,Audi,Q7,,,excellent,100000,6,white,automatic,SUV,clean,4wd,gas,14400.0
45,2002.0,toyota,solara,,,excellent,265575,4,silver,automatic,sedan,clean,rwd,gas,2500.0
46,2019.0,subaru,forester,,,like,16100,4,white,automatic,SUV,clean,4wd,gas,27000.0
47,2007.0,toyota,scion,tc,,good,138000,4,,automatic,,clean,,gas,3800.0
48,2014.0,dodge,grand,caravan,,excellent,155000,6,grey,automatic,mini-van,clean,fwd,gas,5900.0
49,2013.0,mercedes,benz,,WDDGF4HB1DR276074,excellent,72000,,white,automatic,,clean,,gas,12500.0
50,2000.0,porsche,911,,,,88600,6,,manual,,clean,,gas,20000.0
51,2001.0,Ford,F150,supercrew,,good,187000,8,,automatic,pickup,clean,rwd,gas,4000.0
52,2014.0,Toyota,Prius,,,,200000,,,automatic,,clean,,gas,5700.0
53,1995.0,Ford,E350,Ambulance,,excellent,89000,,green,automatic,offroad,clean,4wd,diesel,59000.0
54,2011.0,Honda,Element,,,good,92000,4,red,automatic,SUV,clean,fwd,gas,14500.0
55,2004.0,Toyota,Sienna,,5TDZA22C34S198230,fair,186230,,blue,automatic,mini-van,clean,,gas,3600.0
56,2010.0,honda,civic,lx,,,125000,,,automatic,coupe,clean,,gas,5000.0
57,2008.0,subaru,impreza,,JF1GH61648H823725,good,180297,4,,automatic,,clean,4wd,gas,3000.0
58,2015.0,Mazda,3,,,excellent,97000,,,automatic,,clean,,gas,8800.0
59,2008.0,nissan,rogue,,,excellent,176000,4,silver,automatic,,clean,fwd,gas,4000.0
60,2007.0,toyota,camry,hybrid,,excellent,161000,4,white,automatic,,clean,fwd,hybrid,5300.0
61,2011.0,ford,f-150,fx2,,,114000,6,grey,automatic,pickup,clean,rwd,gas,15500.0
62,2006.0,subaru,baja,sport,,excellent,103237,4,grey,automatic,,salvage,4wd,gas,13000.0
63,2002.0,dodge,ram,1500,,excellent,51540,8,white,automatic,van,clean,rwd,gas,9900.0
64,2013.0,Toyota,Camry,,,excellent,52376,4,,automatic,,clean,,gas,3600.0
65,2006.0,lexus,ls,430,,good,196000,8,black,automatic,sedan,clean,rwd,gas,6500.0
66,2008.0,bmw,3,series,,good,133896,6,,automatic,,clean,,gas,4850.0
67,2004.0,toyota,tundra,double,,excellent,190000,8,,automatic,,clean,,gas,9500.0
68,2010.0,volkswagen,tiguan,s,,excellent,93352,4,grey,automatic,SUV,clean,4wd,diesel,7600.0
69,2013.0,hyundai,sonata,,,excellent,79400,4,blue,automatic,sedan,clean,fwd,gas,9200.0
