,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1999.0,toyota,camry,,,good,172000,,,automatic,,clean,,gas,2000.0
1,2017.0,honda,civic,lx,,excellent,39800,4,silver,automatic,sedan,clean,fwd,gas,15000.0
2,2013.0,Nissan,Murano,SV,,good,55000,6,blue,automatic,SUV,clean,fwd,gas,13000.0
3,2007.0,lexus,es,350,,,210000,,silver,automatic,,clean,,gas,4800.0
4,2006.0,kia,optima,,,excellent,165000,,,automatic,,salvage,,gas,3500.0
5,2012.0,subaru,impreza,,JF1GJAC64CH027599,excellent,67000,4,white,automatic,,clean,4wd,gas,9900.0
6,2013.0,hyundai,sonata,,,good,115000,,,automatic,,clean,,gas,6200.0
7,2005.0,lexus,es,330,,excellent,181000,6,silver,automatic,sedan,clean,fwd,gas,3000.0
8,2007.0,cadillac,escalade,esv,,good,167000,8,black,automatic,SUV,clean,4wd,gas,14500.0
9,2006.0,chevrolet,impala,,,,180000,,,automatic,,clean,,gas,1500.0
10,2012.0,Fiat,500,Pop,,,68000,,,manual,,clean,,gas,5500.0
11,1992.0,Chevrolet,blazer,,,excellent,212684,8,white,automatic,SUV,clean,4wd,gas,16000.0
12,2003.0,Ford,focus,,,,71000,,,automatic,,clean,,gas,3300.0
13,2000.0,toyota,avalon,xls,,good,253752,6,silver,automatic,sedan,clean,fwd,gas,2800.0
14,2002.0,ford,explorer,,,good,190000,6,white,automatic,SUV,clean,rwd,gas,2700.0
15,1997.0,Ford,F350,,,good,325000,8,,automatic,pickup,clean,4wd,diesel,15000.0
16,2003.0,Toyota,Corolla,S,1NXBR32E332055883,good,281686,4,white,manual,sedan,clean,fwd,gas,1500.0
17,2007.0,Honda,Accord,,,,180000,,,automatic,,salvage,,gas,4900.0
18,2000.0,mercedes,benz,ml430,,good,143400,8,silver,automatic,SUV,clean,4wd,gas,3000.0
19,2005.0,Honda,Accord,EX-L,,good,180000,6,silver,automatic,sedan,clean,fwd,gas,2500.0
20,2018.0,Toyota,Tacoma,,,good,51000,6,brown,manual,truck,clean,4wd,gas,40000.0
21,1970.0,Chevy,camaro,,,,150000,,,automatic,,clean,,gas,5555.0
22,2012.0,hyundai,sonata,,,,39000,,,automatic,,clean,,gas,9000.0
23,2003.0,chevy,trailblazer,,,,200009,,,automatic,,clean,,gas,1250.0
24,2000.0,dodge,conversion,van,,,100000,,,automatic,,clean,,gas,7000.0
25,1998.0,Honda,crv,,,good,151889,4,,automatic,,clean,,gas,2900.0
26,2015.0,jeep,wrangler,unlimited,,,85700,,,automatic,,salvage,,gas,25700.0
27,1965.0,Meyers,Manx,,,,50000,,,manual,,clean,,gas,10500.0
28,2015.0,kia,optima,,KNAGM4AD1F5079327,excellent,197,4,black,automatic,sedan,clean,fwd,gas,7000.0
29,2013.0,lexus,es,350,,good,81000,6,grey,automatic,sedan,clean,fwd,gas,15000.0
30,2006.0,subaru,outback,,,,200000,,,automatic,,clean,,gas,2800.0
31,2005.0,Toyota,Tundra,,5TBRT38135S468833,excellent,190000,8,black,automatic,truck,clean,rwd,gas,12000.0
32,2018.0,honda,odyssey,elite,,good,29000,6,grey,automatic,,salvage,fwd,gas,29500.0
33,2015.0,Subaru,Outback,,4S4BSALC4F3299672,excellent,64000,4,white,automatic,wagon,rebuilt,4wd,gas,15500.0
34,2001.0,ford,f350,super,1FTSW31F01EC30511,good,138785,8,custom,automatic,truck,salvage,4wd,diesel,16000.0
35,2011.0,chevy,traverse,,,,211345,,,automatic,,clean,,gas,3200.0
36,2013.0,toyota,tundra,,,excellent,129300,8,white,automatic,pickup,clean,rwd,gas,14200.0
37,2001.0,ford,f350,super,1FTSW31F01EC30511,good,138785,8,custom,automatic,truck,salvage,4wd,diesel,16000.0
38,2011.0,bmw,328i,xdrive,,,101345,,,automatic,,clean,,gas,6900.0
39,2015.0,dodge,ram,1500,,excellent,85073,8,black,automatic,pickup,clean,rwd,gas,18800.0
40,2011.0,Mini,Cooper,,,,143000,,,automatic,,clean,,gas,6000.0
41,2006.0,Mercedes,Benz,E55,,excellent,102000,8,,automatic,,clean,rwd,gas,14900.0
42,2010.0,ford,f-150,,,fair,187000,8,,automatic,,clean,,gas,5800.0
43,2008.0,toyota,prius,hybrid,,excellent,147930,4,red,automatic,hatchback,clean,fwd,hybrid,4800.0
44,2002.0,gmc,yukon,denali,,,204848,,,automatic,,clean,,gas,2200.0
45,2020.0,Tesla,model,3,,excellent,9000,,white,automatic,sedan,clean,4wd,electric,44500.0
46,2008.0,nissan,altima,,,,161000,,,automatic,,clean,,gas,5100.0
47,2016.0,toyota,tacoma,,,excellent,46296,6,white,automatic,,clean,4wd,gas,31500.0
48,2002.0,toyota,4runner,,,,247544,6,black,automatic,,salvage,rwd,gas,5500.0
49,2017.0,mercedes-benz,gls,450,,excellent,54500,6,grey,automatic,SUV,clean,4wd,gas,35900.0
50,1990.0,Ford,F-350,XLT,,,158000,8,,automatic,,clean,,gas,9900.0
51,2013.0,volvo,vnl,670,,excellent,917000,,white,automatic,truck,clean,,diesel,28000.0
52,2006.0,honda,cr-v,,,good,124276,4,black,automatic,SUV,clean,4wd,gas,7800.0
53,2014.0,toyota,camry,se,,,120000,,,automatic,sedan,parts,,gas,5000.0
54,2008.0,ford,ranger,,1FTYR10D68PA11721,excellent,161000,4,white,automatic,pickup,clean,rwd,gas,5000.0
55,2007.0,jeep,grand,cherokee,,excellent,177000,8,silver,automatic,SUV,salvage,4wd,gas,3300.0
