,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2005.0,subaru,legacy,wagon,,,185000,,,automatic,,clean,,gas,4900.0
1,1998.0,Acura,CL,,,,159919,,,automatic,,clean,,gas,2500.0
2,2011.0,chevrolet,silverado,1500,1GCRCREA5BZ359413,good,213400,8,white,automatic,truck,clean,rwd,gas,7500.0
3,2007.0,Nissan,Versa,S,,good,169058,4,grey,manual,,clean,fwd,gas,2500.0
4,2009.0,honda,fit,,,,150000,,,manual,SUV,clean,,gas,3900.0
5,2002.0,Ford,Explorer,Sport,,good,140500,6,custom,automatic,SUV,clean,rwd,gas,2450.0
6,2015.0,CAYMAN,GTS,,,excellent,95700,6,grey,manual,coupe,clean,rwd,gas,50000.0
7,2010.0,lexus,rx,350,,like,137160,,silver,automatic,,clean,,gas,11799.0
8,2011.0,Nissan,Altima,,,good,85000,4,blue,automatic,sedan,clean,fwd,gas,6100.0
9,2013.0,bmw,328i,,,like,101000,4,grey,automatic,sedan,clean,,gas,10800.0
10,1983.0,chevy,p30,step,,fair,200000,8,yellow,automatic,van,clean,rwd,gas,3000.0
11,2015.0,infiniti,qx60,,,,74471,,black,automatic,,clean,,gas,16999.0
12,2017.0,Ford,Transit,Connect,,excellent,63524,4,white,automatic,van,clean,,gas,
13,1981.0,honda,civic,,SR5336BS042809,fair,63423,4,brown,automatic,,clean,fwd,gas,1000.0
14,2016.0,kia,soul,,,excellent,60392,,silver,automatic,,clean,,gas,9499.0
15,2003.0,Toyota,Sequoia,Limited,,excellent,180000,8,silver,automatic,SUV,clean,4wd,gas,7999.0
16,2017.0,toyota,prius,,,excellent,85079,,silver,automatic,,clean,,gas,12499.0
17,2011.0,mercedes,benz,gl450,,like,106970,,white,automatic,,clean,,gas,13499.0
18,2009.0,Honda,CRV,EX,,like,155000,4,blue,automatic,SUV,clean,4wd,gas,8900.0
19,2008.0,volkswagen,gti,,,excellent,107000,4,silver,automatic,coupe,clean,fwd,gas,6500.0
20,2005.0,toyota,4runner,4wd,,excellent,196348,8,silver,automatic,SUV,salvage,4wd,gas,8900.0
21,2014.0,Dodge,Avenger,SE,,good,136516,,white,automatic,sedan,clean,,gas,5500.0
22,2000.0,oldsmobile,alero,,,good,140000,4,grey,automatic,coupe,clean,fwd,gas,1500.0
23,2018.0,Chevy,cruz,,,new,14114,4,,other,,clean,fwd,diesel,16000.0
24,1996.0,Toyota,T100,,,,270000,,,automatic,,clean,,gas,7500.0
25,2016.0,Lexus,Ct200h,,,like,65410,,red,automatic,,clean,,gas,15299.0
26,2010.0,mini,cooper,clubman,,,158000,,,automatic,,clean,,gas,4000.0
