,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2013.0,infiniti,j35,,,,160637,,,automatic,,clean,,gas,11800.0
1,2001.0,bmw,330ci,,,good,153,,grey,automatic,coupe,clean,,gas,2800.0
2,2012.0,mini,cooper,countryman,,excellent,119200,4,black,automatic,SUV,clean,fwd,gas,8000.0
3,2009.0,toyota,rav4,,,excellent,108455,4,black,automatic,SUV,clean,fwd,gas,7900.0
4,2009.0,gmc,acadia,,,good,150000,,green,automatic,SUV,clean,,gas,6000.0
5,2014.0,toyota,tacoma,,,good,45000,6,red,automatic,truck,salvage,,gas,18800.0
6,2008.0,Ford,Explorer,xlt,,good,154392,8,black,automatic,SUV,clean,rwd,gas,5000.0
7,1970.0,volkswagen,beetle,,,good,161000,,blue,manual,,clean,rwd,gas,5500.0
8,2008.0,mini,cooper,,,,161000,,,automatic,,clean,,gas,4250.0
9,2004.0,jaguar,xjr,supercharged,,good,98000,8,black,automatic,sedan,clean,rwd,gas,5200.0
10,2006.0,honda,cr-v,,,good,143000,4,blue,automatic,SUV,clean,fwd,gas,5400.0
11,2005.0,honda,civic,,,salvage,198000,4,silver,automatic,,salvage,fwd,gas,3000.0
12,2011.0,Porcshe,911,,,excellent,20300,6,black,automatic,convertible,clean,rwd,gas,50000.0
13,1998.0,Acura,Integra,GS-R,,good,68000,4,white,manual,hatchback,clean,fwd,gas,6000.0
14,2004.0,Ford,f450,,,,190,,,automatic,,clean,,gas,8500.0
15,1965.0,chevy,nova,ii,,excellent,80000,8,white,automatic,coupe,clean,rwd,gas,19500.0
16,1949.0,Ford,Convertible,,,like,8746,,,manual,,clean,,gas,21000.0
17,1967.0,chevrolet,c10,,,excellent,2200,8,white,automatic,truck,clean,rwd,gas,47000.0
18,2016.0,toyota,tacoma,,,good,178000,6,blue,automatic,truck,clean,rwd,gas,16500.0
19,2002.0,chevrolet,silverado,1500,,good,162000,,green,automatic,truck,clean,4wd,gas,12500.0
20,2011.0,Ford,Flex,,,excellent,121491,6,white,automatic,other,clean,fwd,gas,7800.0
21,1969.0,chevy,camaro,,,excellent,93000,8,,automatic,,clean,,gas,40.0
22,2018.0,Mini,Cooper,S,,excellent,26550,4,black,automatic,,clean,fwd,gas,22499.0
23,1984.0,Cadillac,eldorado,biarritz,,excellent,122000,8,white,automatic,coupe,salvage,rwd,gas,4000.0
24,2006.0,vw,jetta,,,excellent,239500,4,white,manual,sedan,clean,fwd,diesel,5900.0
25,2018.0,ford,focus,st3,1FADP3L92JL279112,like,7000,4,black,manual,other,clean,fwd,gas,24500.0
26,1979.0,Porsche,924,,,good,56000,4,red,manual,coupe,clean,rwd,gas,5000.0
27,1986.0,vw,vanagon,,,good,429688,4,silver,manual,van,clean,rwd,gas,10150.0
28,2009.0,nissan,pathfinder,4x4,,salvage,215700,6,white,automatic,SUV,clean,4wd,gas,1500.0
29,2002.0,nissan,sentra,,,fair,212000,,,automatic,,clean,,gas,1100.0
31,1997.0,honda,civic,ex,1HGEJ8242VL136011,fair,194798,,green,automatic,,parts,,gas,500.0
32,2019.0,Jeep,Wrangler,,,,8200,,,automatic,,clean,,gas,31000.0
33,1993.0,bmw,318i,,,good,177586,4,white,manual,sedan,clean,rwd,gas,3000.0
34,2010.0,ford,focus,sel,,excellent,135912,4,white,automatic,sedan,clean,fwd,gas,4500.0
35,2004.0,chevrolet,express,van,,like,113000,8,white,automatic,van,clean,rwd,gas,19500.0
36,2018.0,Jeep,Grand,Cherokee,,excellent,13600,6,black,automatic,SUV,clean,4wd,gas,38000.0
37,1996.0,chevrolet,silverado,1500,,good,89573,8,green,automatic,pickup,clean,rwd,gas,7500.0
38,1968.0,Ford,F100,,,fair,22000,,,manual,truck,clean,rwd,gas,2750.0
39,2016.0,dodge,ram,1500,,excellent,112000,6,white,automatic,truck,clean,4wd,diesel,27900.0
40,1998.0,subaru,forester,,,salvage,152200,4,green,automatic,SUV,salvage,4wd,gas,600.0
41,2011.0,chevy,tahoe,,,good,130000,8,black,automatic,SUV,clean,rwd,gas,15000.0
42,2009.0,chevrolet,silverado,2500hd,,excellent,160000,8,blue,automatic,truck,clean,4wd,diesel,38500.0
43,2014.0,honda,civic,lx,19XFB2F57EE202092,new,59000,,grey,automatic,sedan,clean,,gas,12900.0
44,2010.0,Tesla,Roadster,,,fair,150000,,,automatic,other,salvage,,electric,1.0
45,2011.0,hyundai,sonata,,,,150000,,,automatic,,salvage,,gas,6000.0
46,2004.0,dodge,ram,3500,,,314000,,,automatic,,clean,,diesel,12000.0
47,2000.0,mercedes,benz,ml55,,excellent,161151,8,green,automatic,SUV,clean,4wd,gas,6500.0
48,1960.0,Chevy,Impala,,,,100000,8,,automatic,,clean,,gas,15000.0
50,2011.0,bmw,328i,,,excellent,108000,6,grey,automatic,coupe,clean,rwd,gas,8999.0
51,2012.0,bentley,gtc,,,,50000,,,automatic,,clean,,gas,71000.0
52,2002.0,ford,f-150,,,,167333,,,automatic,,salvage,,gas,4800.0
53,2000.0,ford,ranger,xlt,,good,151000,6,white,automatic,truck,clean,rwd,gas,4850.0
54,2019.0,BMW,M850,xdrive,,like,8320,8,white,automatic,coupe,clean,4wd,gas,914.0
55,2014.0,toyota,prius,c,JTDKDTB33E1064962,good,243000,4,silver,automatic,hatchback,clean,fwd,gas,6500.0
56,2006.0,dodge,ram,1500,,good,114000,8,blue,automatic,pickup,clean,rwd,gas,10000.0
57,2005.0,cadillac,deville,,,excellent,57303,8,,automatic,,clean,fwd,gas,5800.0
58,1973.0,Chevy,K5,Blazer,,,1,,,automatic,,clean,,gas,8000.0
59,2018.0,toyota,highlander,xle,,excellent,18700,6,white,automatic,SUV,clean,fwd,gas,32999.0
60,2010.0,mercedes,benz,e350,,excellent,71400,6,silver,automatic,sedan,clean,rwd,gas,12000.0
61,1994.0,GMC,Sierra,,,good,283079,8,silver,automatic,pickup,clean,4wd,gas,5500.0
62,2013.0,honda,civic,,,fair,138934,4,grey,automatic,sedan,clean,fwd,gas,8000.0
63,1970.0,chevy,chevelle,ss,,,100,,,manual,,clean,,gas,85000.0
64,2015.0,chevrolet,suburban,,1GNSCJKCXFR227345,excellent,56680,8,black,automatic,SUV,clean,rwd,gas,29000.0
65,2003.0,ford,focus,zx3,3FAFP31373R132649,good,178888,4,silver,manual,hatchback,clean,fwd,gas,750.0
66,2006.0,volvo,s40,,,excellent,110000,,white,automatic,sedan,clean,,gas,5100.0
