,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2020.0,nissan,nv200,,,,9000,,,automatic,,clean,,gas,22000.0
1,2003.0,honda,accord,,,,207000,,,automatic,,clean,,gas,1800.0
3,2002.0,infiniti,Q45,,,,160000,8,,automatic,,clean,,gas,2200.0
4,2008.0,audi,a6,4.2,,excellent,104000,8,grey,automatic,sedan,clean,fwd,gas,8500.0
5,2021.0,gmc,yukon,,,,3800,,,automatic,,clean,,gas,70000.0
6,2013.0,ford,escape,,,like,61330,4,red,automatic,SUV,clean,fwd,gas,11000.0
7,2001.0,honda,accord,,,good,139706,4,blue,automatic,sedan,clean,,gas,2000.0
8,1999.0,honda,accord,,,good,240000,,,automatic,,clean,,gas,2800.0
9,1966.0,Ford,Mustang,Coupe,,,65000,8,,automatic,,clean,,gas,9000.0
10,2003.0,GMC,Sierra,2500,1GTGK29U73Z345701,good,148000,8,white,automatic,truck,clean,4wd,gas,9500.0
11,2005.0,toyota,camry,,,good,181000,4,silver,automatic,sedan,clean,fwd,gas,2000.0
12,2005.0,Mini,Cooper,s,,,209000,,,manual,,clean,,gas,2500.0
13,1999.0,toyota,camry,,,good,172000,,,automatic,,clean,,gas,2500.0
14,2006.0,hyundai,elantra,,,fair,94450,,custom,automatic,,clean,,gas,1200.0
15,2008.0,volkswagen,passat,,,excellent,112000,,,automatic,,clean,,gas,5500.0
16,2008.0,smart,fortwo,,,excellent,41000,,yellow,automatic,,clean,,gas,5500.0
17,2008.0,bmw,x3,,,excellent,159000,,,automatic,,clean,,gas,5500.0
18,1999.0,toyota,camry,,,good,172000,,,automatic,,clean,,gas,2500.0
19,2019.0,toyota,camry,,,excellent,28000,4,black,automatic,sedan,clean,fwd,gas,18350.0
20,2000.0,gmc,sierra,,,good,190000,,,automatic,,clean,rwd,gas,5200.0
21,2006.0,kia,optima,,,excellent,165000,,,automatic,,salvage,,gas,3900.0
22,2011.0,subaru,impreza,wrx,,excellent,153000,4,white,manual,sedan,clean,4wd,gas,14500.0
23,2007.0,lexus,es,350,,,210000,,silver,automatic,,clean,,gas,4800.0
24,1998.0,acura,nsx,,,good,95486,6,red,automatic,,clean,,gas,55000.0
25,2005.0,Honda,Accord,,,good,240000,,silver,manual,,clean,,gas,2500.0
26,2010.0,mazda,3,,,excellent,41000,4,white,manual,hatchback,clean,fwd,gas,12000.0
27,1997.0,toyota,corolla,dx,,good,3000000,,,automatic,,clean,,gas,75.0
28,1998.0,honda,accord,,,good,118545,4,grey,automatic,sedan,clean,fwd,gas,2950.0
29,2007.0,bmw,328xi,,,excellent,138000,6,silver,automatic,sedan,clean,rwd,gas,8300.0
30,2007.0,chevy,avalanche,LTZ,,,210000,,,automatic,,clean,,gas,8300.0
31,1970.0,Chevy,camaro,,,,150000,,,automatic,,clean,,gas,5555.0
32,2014.0,hyundai,elantra,,,like,66057,,,automatic,,clean,,gas,10500.0
33,2014.0,toyota,tacoma,4x4,,excellent,117658,4,white,other,pickup,clean,4wd,gas,18000.0
