,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2013.0,Toyota,Prius,,,,172500,,,automatic,,clean,,gas,6000.0
1,1965.0,ford,mustang,,,,67000,8,,manual,,clean,,gas,10000.0
2,2005.0,infiniti,g35,,,good,124000,6,white,automatic,coupe,clean,rwd,gas,7200.0
3,2006.0,Bmw,325i,328i,,good,94000,6,grey,automatic,,clean,fwd,gas,5200.0
4,2008.0,mazda,3,,,good,117000,4,black,manual,sedan,clean,fwd,gas,3800.0
6,2010.0,Toyota,prius,,,good,85000,4,black,automatic,,clean,,gas,7300.0
7,1998.0,Honda,Civic,,,good,183121,4,red,automatic,hatchback,clean,,gas,3950.0
8,2012.0,VOLKSWAGEN,GOLF,R,,excellent,76000,4,blue,manual,coupe,clean,4wd,gas,19500.0
9,1998.0,Chevy,Cheyenne,,1GBGC24R3WZ250237,excellent,57235,8,,automatic,truck,clean,rwd,gas,7500.0
10,2006.0,toyota,corolla,le,,good,92000,4,silver,automatic,sedan,salvage,fwd,gas,4950.0
11,2015.0,Columbia,Utilitruck,,,good,2170,,blue,automatic,pickup,clean,,electric,3500.0
12,2010.0,Toyota,Prius,,,excellent,87000,4,grey,automatic,,clean,,gas,8300.0
13,2005.0,chevy,Malibu,Maxx,,,122383,,,automatic,,clean,,gas,1995.0
14,1992.0,ford,mustang,lx,1FACP44EXNF160015,excellent,77000,8,red,automatic,convertible,clean,rwd,gas,9995.0
15,2015.0,Mercedes-Benz,ml350,,4JGDA5JB9FA453687,excellent,57340,6,grey,automatic,SUV,clean,rwd,gas,20700.0
16,1972.0,GMC,sierra,half,,good,76000,8,silver,automatic,pickup,clean,4wd,gas,15000.0
17,2011.0,bmw,328i,,,like,189469,6,grey,automatic,sedan,clean,fwd,gas,6299.0
18,2018.0,Tesla,Model,3,,excellent,20680,other,white,automatic,sedan,clean,rwd,electric,39950.0
19,2002.0,toyota,tacoma,prerunner,5TESN92N22Z076006,good,136000,6,green,automatic,,clean,rwd,gas,10400.0
20,2004.0,Toyota,Prius,,,excellent,58800,4,white,automatic,,clean,fwd,hybrid,6500.0
21,2004.0,Volvo,S60,,,excellent,126586,5,silver,automatic,sedan,clean,fwd,gas,3350.0
22,2009.0,Mitsubishi,Outlander,,,good,150000,4,white,automatic,SUV,clean,fwd,gas,4500.0
23,2012.0,lexus,es,350,,excellent,72300,6,white,automatic,,clean,,gas,15300.0
24,1973.0,Volvo,164E,,,good,98642,6,white,automatic,,clean,,gas,1950.0
25,2011.0,bmw,328i,,,like,141311,6,blue,automatic,sedan,clean,fwd,gas,7499.0
26,2005.0,bmw,645ci,,,good,189000,,,automatic,,clean,rwd,gas,5500.0
27,2015.0,Mercedes,Benz,C300W,,like,49000,4,blue,automatic,sedan,clean,rwd,gas,20000.0
28,2005.0,ford,f-150,,,,118123,,,automatic,,clean,,gas,9500.0
29,2009.0,bmw,328i,,,like,166086,6,blue,automatic,sedan,clean,fwd,gas,6499.0
30,2008.0,bmw,328i,,,like,176193,6,silver,automatic,sedan,clean,fwd,gas,5499.0
31,2001.0,gmc,sierra,,,,165000,,,automatic,,clean,,gas,4000.0
32,2005.0,toyota,corolla,,,excellent,142419,4,,automatic,sedan,clean,,gas,4500.0
33,2018.0,ford,f-150,,,good,32000,8,grey,automatic,truck,clean,4wd,gas,37900.0
34,2010.0,toyota,tacoma,4x4,3TMLU4EN5AM053255,excellent,128000,6,silver,automatic,truck,clean,4wd,gas,21500.0
35,2014.0,chevrolet,spark,1lt,,like,92466,4,yellow,automatic,hatchback,clean,fwd,gas,4299.0
36,1996.0,Toyota,4Runner,SR5,,good,287000,6,green,manual,SUV,clean,4wd,gas,11000.0
37,1997.0,chrysler,town,&,,excellent,174729,6,white,automatic,mini-van,clean,fwd,gas,2250.0
38,2012.0,Ford,Mustang,GT,,good,50000,8,blue,automatic,convertible,clean,,gas,8950.0
39,2016.0,ford,focus,se,,like,58800,,red,manual,sedan,clean,fwd,gas,12500.0
40,2008.0,Toyota,Corolla,s,1NXBR32E78Z038429,excellent,98000,4,black,automatic,sedan,clean,fwd,gas,5900.0
42,2013.0,smart,car,fortwo,,excellent,49000,other,black,automatic,,clean,,gas,4500.0
43,2007.0,nissan,altima,2.5,,excellent,198000,4,,automatic,,clean,,gas,3000.0
44,1969.0,Dodge,coronet,,,,87000,,,automatic,,salvage,,gas,5500.0
45,2007.0,bmw,328i,,,like,157295,6,silver,automatic,sedan,clean,fwd,gas,5499.0
46,2001.0,gmc,yukon,denali,,,171000,,,automatic,,clean,,gas,4000.0
47,2010.0,honda,civic,lx,,,110000,,,automatic,,clean,,gas,6600.0
48,2011.0,volkswagen,jetta,,,excellent,97000,4,black,manual,sedan,clean,fwd,gas,6500.0
49,2007.0,Toyota,Camry,,,,164000,4,white,automatic,,clean,,gas,4900.0
50,2001.0,BMW,540i,wagon,,excellent,130000,8,custom,automatic,sedan,clean,rwd,gas,5500.0
51,2012.0,chrysler,town,&,,like,174946,6,silver,automatic,mini-van,clean,fwd,gas,5799.0
52,2015.0,toyota,corolla,,,like,85000,4,silver,automatic,sedan,clean,fwd,gas,9800.0
53,2001.0,BMW,540i,wagon,,excellent,200000,8,custom,automatic,sedan,clean,rwd,gas,4500.0
54,2001.0,toyota,tacoma,double,5TEHN72N11Z747579,good,245000,6,silver,automatic,truck,clean,4wd,gas,11700.0
55,2008.0,ford,f-150,,,,230000,8,blue,automatic,truck,clean,4wd,gas,9000.0
56,2006.0,bmw,325i,,,like,134250,6,black,automatic,sedan,clean,fwd,gas,5995.0
57,1993.0,Jeep,Wrangler,,,good,185000,4,black,manual,offroad,clean,4wd,gas,5800.0
58,2005.0,subaru,forester,2.5x,,good,170000,4,blue,automatic,SUV,clean,4wd,gas,3200.0
59,2000.0,honda,odyssey,lx,2HKRL1851YH538550,good,158661,6,white,automatic,mini-van,clean,fwd,gas,2500.0
60,2008.0,jeep,wrangler,,,good,169000,,custom,automatic,,clean,4wd,gas,16900.0
61,2013.0,cadillac,srx,,,like,177270,6,red,automatic,SUV,clean,fwd,gas,8995.0
62,2011.0,audi,a6,3.0t,,like,166717,6,black,automatic,sedan,clean,fwd,gas,7995.0
63,2014.0,BMW,320i,,WBA3B1C57EPV79083,good,82500,4,grey,automatic,sedan,clean,rwd,gas,11500.0
64,2013.0,hyundai,accent,,,good,130000,,,automatic,sedan,clean,,gas,3000.0
65,2001.0,jeep,grand,cherokee,1J4GX58N51C679944,good,172700,8,black,automatic,,clean,,gas,3500.0
66,2007.0,nissan,murano,sl,,,180000,,,automatic,,clean,,gas,4200.0
67,2020.0,dodge,ram,1500,1C6SRFJT0LN252436,like,551,8,silver,automatic,truck,clean,4wd,gas,52000.0
68,2006.0,toyota,sienna,,,like,181773,6,,automatic,mini-van,clean,fwd,gas,4900.0
69,2009.0,honda,accord,,,excellent,100000,4,grey,automatic,sedan,clean,fwd,gas,6600.0
70,1998.0,Dodge,2500,,,good,241000,6,black,automatic,pickup,clean,4wd,diesel,10000.0
71,2003.0,chevy,impala,,,good,130000,6,red,automatic,,clean,,gas,3500.0
72,2001.0,Lexus,is300,,,excellent,160000,6,silver,automatic,offroad,clean,rwd,gas,4500.0
73,2014.0,Acura,ILX,,,excellent,170000,4,custom,automatic,sedan,clean,rwd,hybrid,3500.0
74,2015.0,toyota,camry,hybrid,,,151000,4,black,automatic,,clean,,hybrid,10500.0
75,2010.0,nissan,murano,le,,like,130208,6,red,automatic,SUV,clean,fwd,gas,7499.0
76,2014.0,ford,fusion,titanium,,like,65000,4,grey,automatic,,clean,,hybrid,9800.0
77,2001.0,honda,civic,,,good,200000,4,,manual,,clean,fwd,gas,1800.0
78,2016.0,honda,accord,,,excellent,50601,4,white,automatic,sedan,clean,fwd,gas,17500.0
79,2004.0,ford,econoline,cargo,,good,210146,,white,automatic,,clean,,gas,6000.0
80,2006.0,Honda,crv,ex,,,196000,4,,automatic,,clean,,gas,4000.0
