,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
1,2011.0,mazda,3,,,excellent,163000,4,white,automatic,coupe,clean,,gas,4500.0
2,2020.0,toyota,tacoma,trd,,,13500,,,automatic,,clean,,gas,40000.0
3,1952.0,mercury,sedan,,,,1111,,,automatic,sedan,missing,,gas,3500.0
4,2015.0,Dodge,Ram,2500,,excellent,91400,6,black,automatic,truck,clean,4wd,diesel,38250.0
5,1997.0,Buick,LeSabre,Custom,,excellent,24264,6,,automatic,,clean,fwd,gas,3800.0
6,2006.0,dodge,sprinter,diesel,,good,289354,5,yellow,automatic,van,clean,rwd,diesel,2000.0
7,2015.0,ford,fiesta,se,,good,74600,4,red,automatic,hatchback,clean,fwd,gas,5200.0
9,2018.0,bmw,3,series,,like,32000,4,black,automatic,sedan,clean,,gas,25000.0
10,1988.0,Volvo,240DL,,,excellent,292000,4,brown,manual,sedan,clean,rwd,gas,4200.0
11,2007.0,toyota,tacoma,4wd,,new,71028,6,,automatic,,clean,4wd,gas,22000.0
12,2016.0,nissan,sentra,,,good,69400,4,silver,automatic,sedan,clean,fwd,gas,7800.0
13,2005.0,honda,accord,,,good,121000,6,green,automatic,coupe,clean,fwd,gas,4500.0
15,1998.0,toyota,camry,,,fair,210000,4,grey,automatic,sedan,rebuilt,fwd,gas,500.0
16,2007.0,MBZ,/,DODGE,,excellent,369000,6,white,automatic,van,clean,rwd,diesel,12600.0
17,1994.0,del,sol,,,,201000,,,automatic,,clean,,gas,2500.0
18,2005.0,chrysler,300,,,,109000,,,automatic,,clean,,gas,4500.0
19,2007.0,ford,f-250,,,good,212000,8,silver,automatic,,clean,4wd,diesel,11000.0
20,2009.0,Mercedes,C300,,,excellent,74600,6,blue,automatic,sedan,clean,rwd,gas,9750.0
22,2006.0,toyota,avalon,,,good,130000,6,custom,automatic,,clean,fwd,gas,5500.0
23,2000.0,ford,explorer,,,excellent,55000,6,,automatic,,clean,fwd,gas,4000.0
24,1997.0,mazda,miata,,,fair,100000,4,red,manual,convertible,clean,rwd,gas,2000.0
25,2000.0,ford,f150,,,,200000,,,manual,,clean,,gas,3500.0
26,1981.0,Ford,Mustang,,1FABP15B7BR101593,good,78500,6,orange,manual,hatchback,clean,rwd,gas,1234.0
27,2013.0,nissan,altima,,,fair,170000,4,black,automatic,sedan,clean,fwd,gas,3300.0
28,2009.0,hyundai,elantra,,,excellent,103000,4,,automatic,,clean,,gas,4500.0
29,2011.0,mini,cooper,s,,good,163000,4,blue,manual,,clean,rwd,gas,4800.0
30,2017.0,ford,explorer,,,excellent,55500,6,silver,automatic,SUV,clean,fwd,gas,26999.0
31,2009.0,nissan,murano,le,JN8AZ18W59W161189,good,166100,6,black,automatic,SUV,clean,4wd,gas,4500.0
32,1999.0,Toyota,tacoma,1999,4TAVL52N4XZ510503,excellent,140759,4,brown,manual,,salvage,,gas,6900.0
33,2002.0,mercedes,2002,,WDBRF61J02F277164,good,198378,6,blue,automatic,,salvage,,gas,3500.0
34,2009.0,nissan,cube,,,excellent,169000,4,red,manual,mini-van,salvage,fwd,gas,2695.0
35,1999.0,Chevy,S-10,,,good,60000,6,black,automatic,truck,clean,rwd,gas,2800.0
36,2003.0,infinity,fx35,,,good,150000,6,orange,automatic,,clean,rwd,gas,5500.0
37,2002.0,Mitsubishi,Montero,,,good,174050,6,green,automatic,SUV,clean,4wd,gas,2995.0
38,2018.0,honda,accord,,,excellent,45000,,white,automatic,,salvage,,gas,18900.0
39,2012.0,audi,a4,,WAUBFAFL1CA038055,good,98000,4,silver,automatic,sedan,clean,4wd,gas,7500.0
