,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2014.0,buick,enclave,,,,94000,,,automatic,,salvage,,gas,9500.0
1,2018.0,Ford,escape,,,,75000,,,automatic,,clean,,gas,7800.0
2,2018.0,Ford,FOCUS,TITANIUM,,like,39985,4,,automatic,,salvage,,gas,9995.0
3,2004.0,Bmw,x3,2.5i,,excellent,123,6,white,automatic,SUV,clean,,gas,4300.0
4,2010.0,Ford,edge,sel,,excellent,107000,6,,automatic,,clean,fwd,gas,4500.0
5,2008.0,saturn,outlook,xe,,excellent,127000,6,blue,automatic,SUV,clean,rwd,gas,4600.0
6,2006.0,Ford,freestyle,sel,,,132000,,,automatic,,clean,,gas,3399.0
7,2003.0,Honda,crv,,,good,201000,4,,automatic,,clean,,gas,2900.0
8,2016.0,Toyota,prius,,,excellent,49000,4,white,automatic,hatchback,salvage,fwd,hybrid,10999.0
9,1993.0,alfa,romeo,,,excellent,89620,,black,automatic,sedan,clean,,gas,4500.0
10,2012.0,fiat,500,,,good,130000,4,silver,automatic,sedan,clean,,gas,4000.0
11,1998.0,Honda,Accord,EX,,excellent,81000,6,black,automatic,coupe,clean,fwd,gas,7500.0
12,2003.0,Honda,cr-v,,,good,195034,4,,automatic,SUV,clean,4wd,gas,3800.0
13,2011.0,nissan,sentra,,,excellent,106000,4,blue,automatic,sedan,clean,,gas,3700.0
14,2000.0,Ford,f-250,super,,good,204000,10,black,automatic,truck,clean,rwd,gas,6000.0
15,2010.0,blue,bird,all,,excellent,136000,6,white,automatic,bus,clean,rwd,diesel,11900.0
16,2004.0,nissan,sentra,,,like,135000,4,,automatic,sedan,clean,fwd,gas,3200.0
17,2007.0,nissan,versa,,,excellent,143761,,,automatic,,clean,,gas,3400.0
18,2014.0,Honda,civic,,,good,100000,4,,automatic,,clean,,gas,7900.0
19,2009.0,Toyota,yaris,,,like,140000,4,,automatic,,clean,,gas,4200.0
20,1999.0,Ford,ranger,xlt,,fair,214000,4,black,automatic,truck,clean,rwd,gas,3800.0
21,2006.0,hundai,accent,,,,102736,4,,automatic,,clean,,gas,3500.0
22,2008.0,Tahoe,yukon,escalade,,,103,,,automatic,,clean,,gas,8500.0
23,2016.0,Bmw,535I,M,WBA5B1C54GG553231,excellent,38587,6,grey,automatic,sedan,clean,4wd,gas,27500.0
24,2013.0,Toyota,corolla,le,,good,115000,4,,automatic,sedan,clean,fwd,gas,7400.0
25,2002.0,mercedes,benz,c240,,excellent,83000,6,green,automatic,,clean,rwd,gas,5000.0
28,1996.0,jeep,cherokee,sport,,good,166000,4,white,manual,,salvage,,gas,4500.0
29,2018.0,hyundai,Santa,Fe,KM8SM4HF4JU261022,like,13439,6,silver,automatic,SUV,clean,fwd,gas,26000.0
30,1988.0,Ford,E350,,,good,153000,4,green,manual,truck,clean,,diesel,10000.0
31,2008.0,mercedes,benz,GL450,4JGBF71E68A352866,good,164975,,black,automatic,SUV,clean,,gas,6000.0
32,2004.0,Toyota,Nissan,honda,,,90000,,,other,,clean,,gas,35.0
33,1994.0,Ford,f-150,,,good,210000,8,blue,automatic,truck,clean,rwd,gas,3100.0
34,2001.0,Ford,TAURUS,SES,,excellent,99200,6,blue,automatic,sedan,clean,fwd,gas,2490.0
35,2018.0,Ford,f-150,,,,8500,,,automatic,,clean,,gas,32000.0
36,2007.0,jeep,grand,cherokee,,,145000,8,,automatic,,salvage,,gas,1.0
37,2003.0,Bmw,x5,,,excellent,173000,6,,automatic,,clean,rwd,gas,4000.0
39,2013.0,lincoln,mkz,,3LN6L2LU3DR816861,like,140000,4,white,automatic,sedan,clean,fwd,hybrid,8950.0
40,2006.0,Lexus,gs,300,,excellent,116600,,grey,automatic,,clean,rwd,gas,7500.0
41,2011.0,Ford,ranger,,1FTKR1AD6BPB22863,good,107000,4,white,manual,truck,clean,,gas,8800.0
42,2017.0,Kia,forte,,3KPFK4A76HE107595,good,71848,4,silver,automatic,sedan,clean,fwd,gas,8800.0
43,2008.0,Volkswagen,Beetle,S,,,63000,,,automatic,,salvage,,gas,3450.0
44,2013.0,Volkswagen,jetta,sportwagen,,,64000,,white,automatic,,clean,,diesel,13500.0
45,2015.0,nissan,sentra,,,good,84000,4,,automatic,,salvage,,gas,5600.0
46,2009.0,Honda,civic,,,excellent,163000,4,black,automatic,sedan,clean,fwd,gas,5500.0
47,2000.0,Toyota,4runner,,JT3GM84R9Y0054617,,280000,4,white,automatic,SUV,clean,,gas,1300.0
48,2008.0,Toyota,corolla,ce,,excellent,115118,4,grey,automatic,sedan,clean,fwd,gas,4450.0
49,2008.0,Jeep,Grand,Cherokee,,like,172000,6,silver,automatic,,clean,,gas,5000.0
50,2004.0,Bmw,328i,,,excellent,146000,6,silver,automatic,sedan,clean,rwd,gas,2500.0
51,2001.0,Mercedes,C240,,,,150000,,,automatic,,clean,,gas,3500.0
52,2014.0,Toyota,prius,,,excellent,160000,4,,automatic,,clean,,gas,7700.0
