,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1999.0,bmw,528i,wagon,WBADP6347XBV63024,excellent,77000,6,black,automatic,wagon,clean,rwd,gas,8700.0
1,2018.0,dodge,ram,,,good,75832,,,automatic,,clean,,diesel,45000.0
2,2007.0,isuzu,npr,box,,good,191234,6,white,other,truck,clean,rwd,gas,8499.0
3,2001.0,toyota,sienna,,,excellent,230000,6,grey,automatic,van,salvage,fwd,gas,2100.0
4,1977.0,Chevrolet,silverado,,,fair,117236,8,black,automatic,pickup,clean,rwd,gas,
5,2008.0,acura,mdx,,,,201000,,,automatic,,clean,,gas,5200.0
6,2011.0,jeep,wrangler,,,like,61000,,custom,manual,SUV,clean,,gas,35000.0
7,2007.0,subaru,forester,,,good,123641,4,silver,automatic,,clean,,gas,5800.0
8,2006.0,Honda,Civic,Si,,good,138000,4,,manual,coupe,clean,fwd,gas,7000.0
9,2003.0,honda,accord,ex-l,,excellent,180000,4,silver,automatic,coupe,clean,fwd,gas,4800.0
10,2004.0,nissan,xterra,,,good,135031,6,black,automatic,SUV,clean,4wd,gas,9500.0
11,2005.0,lexus,ls,430,,,139913,8,,automatic,sedan,clean,rwd,gas,10000.0
12,2012.0,ford,f150,supercrew,1FTFW1EF2CKD50265,excellent,175000,8,white,automatic,truck,clean,4wd,gas,17800.0
13,2012.0,chevy,silverado,,,,204000,,,automatic,,clean,,gas,115000.0
15,1936.0,Ford,Coupe,Humpback,,excellent,17000,8,blue,automatic,sedan,clean,rwd,gas,33000.0
16,2008.0,subaru,forester,,,good,169000,4,grey,automatic,,clean,4wd,gas,6600.0
17,2000.0,lexus,rx300,,,excellent,134000,6,,automatic,,clean,,gas,4900.0
18,2002.0,toyota,tundra,sr5,,good,210000,8,,automatic,truck,clean,4wd,gas,3800.0
19,2012.0,subaru,forester,,,like,159000,4,white,automatic,,clean,4wd,gas,8600.0
20,1999.0,Toyota,Corolla,,,good,197022,4,,manual,sedan,clean,fwd,gas,1800.0
21,2015.0,kia,soul,,,,158000,,,automatic,,salvage,,gas,6700.0
22,2011.0,Audi,A5,,,excellent,104000,4,silver,automatic,,clean,4wd,gas,10500.0
23,2009.0,bmw,328i,xdrive,,,76000,,,automatic,,clean,,gas,7700.0
24,2014.0,BMW,328i,,,excellent,101000,4,blue,automatic,,clean,,gas,12500.0
25,2000.0,ford,ranger,xlt,,excellent,132000,6,green,automatic,,clean,fwd,gas,6700.0
26,2008.0,nissan,350z,,,good,111600,6,white,automatic,coupe,rebuilt,rwd,gas,8500.0
27,1992.0,Lincoln,Mark,VII,1LNCM93E2NY677245,excellent,70000,8,black,automatic,coupe,clean,rwd,gas,8900.0
28,1974.0,volkswagen,beetle,,,good,90000,4,blue,manual,coupe,lien,rwd,gas,6950.0
29,1977.0,chevrolet,silverado,,1GCEK19Z87Z202386,good,187373,8,red,automatic,truck,clean,rwd,gas,25995.0
30,2018.0,nissan,rogue,sv,,excellent,49500,,silver,automatic,SUV,clean,,gas,19850.0
31,1999.0,honda,cr-v,,JHLRD1765XC012166,good,161000,4,red,manual,SUV,clean,4wd,gas,2250.0
