,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2018.0,toyota,prius,,,excellent,76000,4,,automatic,,clean,,hybrid,15500.0
1,2018.0,ford,f-150,,,,55776,,,automatic,,clean,4wd,gas,32000.0
2,2000.0,oldsmobile,bravada,,,fair,80794,6,green,automatic,SUV,clean,4wd,gas,3400.0
3,2010.0,jaguar,xfr,,,like,74000,8,grey,automatic,sedan,clean,rwd,gas,20500.0
4,2016.0,chevrolet,colorado,,,excellent,19945,4,white,automatic,pickup,clean,rwd,gas,16500.0
5,1990.0,Jeep,Grand,Wagoneer,,,190947,8,white,automatic,SUV,clean,4wd,gas,6500.0
6,1987.0,nissan,sentra,,,,92000,4,red,automatic,sedan,clean,fwd,gas,1350.0
7,2003.0,Toyota,4runner,4x4,,good,232000,8,white,automatic,SUV,clean,4wd,gas,9999.0
8,2016.0,Toyota,Tundra,Platinum,,excellent,149000,8,white,automatic,pickup,clean,4wd,gas,29400.0
9,2000.0,acura,tl,3.2,,good,144149,6,white,automatic,sedan,clean,fwd,gas,3250.0
10,1994.0,ford,e350,van,,good,155200,8,white,automatic,van,clean,rwd,gas,5500.0
11,1994.0,chevrolet,silverado,1500,,fair,224726,,black,automatic,pickup,clean,,gas,1400.0
12,2005.0,chevrolet,corvette,,,excellent,46000,8,red,manual,coupe,clean,rwd,gas,22000.0
13,2005.0,land,rover,lr3,,good,110500,6,black,automatic,SUV,clean,4wd,gas,6995.0
14,1985.0,dodge,ram,3500,,,108600,,,automatic,,clean,,gas,12500.0
15,2015.0,Chevy,Spark,,,excellent,70000,4,,automatic,sedan,clean,fwd,gas,7350.0
16,2006.0,bmw,325i,,,good,175000,6,black,automatic,sedan,clean,,gas,3500.0
17,1967.0,vw,beetle,,,good,222000,4,white,manual,convertible,clean,rwd,gas,2900.0
18,2004.0,Jeep,Wrangler,,,good,115853,6,silver,automatic,,clean,4wd,gas,8300.0
19,2019.0,Corvette,Grand,Sport,,like,1681,8,blue,automatic,convertible,clean,rwd,gas,71500.0
20,2014.0,nissan,maxima,,,good,70000,6,white,automatic,sedan,salvage,fwd,gas,6000.0
21,2003.0,chevrolet,silverado,1500,,good,190000,8,white,automatic,pickup,clean,4wd,gas,9000.0
22,2004.0,honda,pilot,,,good,181000,6,white,automatic,SUV,salvage,4wd,gas,3000.0
23,2012.0,vw,jetta,,3VWDP7AJ9CM322762,,90000,,,automatic,,clean,,gas,5400.0
24,2006.0,kia,sedona,ex,,excellent,141000,6,yellow,automatic,mini-van,clean,rwd,gas,4500.0
25,2013.0,Lexus,RX350,,,excellent,86000,6,,automatic,SUV,clean,,gas,17500.0
26,2007.0,chevy,tahoe,,,,189703,,,automatic,SUV,clean,,gas,8500.0
27,1993.0,ford,bronco,xlt,,excellent,126000,8,red,automatic,SUV,clean,4wd,gas,13500.0
28,2016.0,toyota,tacoma,,,good,71000,6,,automatic,,clean,,gas,26000.0
29,2006.0,ford,crown,victoria,,fair,126000,8,black,automatic,,clean,rwd,gas,1000.0
30,2004.0,bmw,325i,,WBAEV33404KW15985,excellent,84000,6,,automatic,,clean,,gas,4600.0
31,2002.0,toyota,prius,,,fair,285178,4,,automatic,,salvage,,gas,850.0
32,2003.0,mazda,tribute,,,fair,99000,6,blue,automatic,SUV,clean,fwd,gas,1450.0
33,2008.0,toyota,prius,,,excellent,79809,4,blue,automatic,hatchback,clean,fwd,gas,6900.0
34,1996.0,chevy,cheyenne,2500,,excellent,109500,8,brown,automatic,pickup,clean,rwd,gas,9800.0
35,2014.0,chevy,spark,ls,KL8CA6S99EC589153,excellent,70000,4,red,manual,hatchback,salvage,,gas,4700.0
36,1971.0,volkswagen,beetle,,,,10000,,,manual,,clean,,gas,3500.0
37,2000.0,Toyota,4Runner,,,,240000,,,automatic,,clean,,gas,5200.0
38,2008.0,ford,mustang,,,excellent,93000,8,red,manual,,clean,rwd,gas,
39,1984.0,chevy,custom,deluxe,,good,42,8,blue,automatic,pickup,clean,rwd,gas,10.0
40,2006.0,bmw,530xi,wagon,,excellent,104000,6,blue,automatic,wagon,clean,fwd,gas,6250.0
41,2015.0,toyota,prius,,,good,62247,4,black,automatic,hatchback,salvage,fwd,gas,8100.0
42,2015.0,nissan,versa,,,like,66000,4,black,manual,sedan,clean,fwd,gas,6500.0
43,2014.0,mazda,cx-5,,,excellent,81602,4,white,automatic,SUV,clean,fwd,gas,13000.0
44,2002.0,bmw,325i,,,excellent,172888,,,manual,sedan,clean,,gas,5500.0
45,2003.0,dodge,ram,2500,3D7KU28DX3G792454,excellent,151200,8,white,automatic,pickup,clean,4wd,gas,12000.0
46,2011.0,hyundai,sonata,,,,169000,,,automatic,,clean,,gas,4750.0
47,2015.0,Honda,Civic,,,,90000,,,automatic,,clean,,gas,8950.0
48,2007.0,bmw,328i,,WBAVC53597FZ71195,excellent,174000,6,,other,,clean,,gas,3600.0
49,2012.0,Chevrolet,Colorado,,,excellent,86000,4,white,automatic,truck,clean,rwd,gas,8200.0
50,2002.0,bmw,5,series,,excellent,79488,6,,automatic,,clean,,gas,7800.0
51,2013.0,bmw,3,series,,,145000,,,automatic,,clean,,gas,7850.0
52,2008.0,bmw,3,series,,excellent,62000,6,,automatic,,clean,,gas,8500.0
53,2005.0,hyundai,elantra,,,excellent,114000,4,,manual,,clean,,gas,1900.0
54,2003.0,volkswagen,beetle,,,good,58000,4,blue,automatic,hatchback,clean,fwd,gas,3100.0
55,2010.0,honda,civic,,,excellent,126,4,,automatic,,salvage,,gas,4800.0
56,2001.0,ford,f350,super,,good,120000,8,white,automatic,truck,clean,4wd,diesel,28500.0
57,2004.0,ford,f-150,,,excellent,173596,8,silver,automatic,truck,clean,rwd,gas,3500.0
58,1998.0,chevy,silverado,K,,good,250,5,white,automatic,truck,salvage,4wd,gas,2000.0
59,2003.0,toyota,tacoma,,,like,200000,4,,automatic,,clean,rwd,gas,6800.0
60,2006.0,chevy,silverado,,1GCHK23U96F124765,good,193000,8,white,automatic,pickup,clean,4wd,gas,10000.0
61,2016.0,Honda,CR-V,SE,1C4PJLCB4JD612674,excellent,100500,4,brown,automatic,SUV,salvage,fwd,gas,10750.0
62,2000.0,buick,lesabre,,,excellent,83319,6,custom,automatic,sedan,clean,rwd,gas,5450.0
63,1997.0,toyota,4runner,sr5,,,200000,,,automatic,,clean,,gas,4200.0
64,1995.0,Istask,Sunrise,,,good,75000,,white,automatic,,clean,,gas,8.0
65,2013.0,Ford,Focus,,,,105000,,,automatic,,clean,,gas,2800.0
66,2003.0,nissan,350z,,,,177000,,,automatic,,clean,,gas,2850.0
67,2017.0,dodge,ram,2500,,good,137000,6,white,automatic,pickup,lien,4wd,diesel,32000.0
68,2004.0,toyota,camry,,,good,230000,,silver,automatic,sedan,clean,fwd,gas,3850.0
69,2008.0,infiniti,g35x,,JNKBV61FX8M250090,excellent,158389,6,black,automatic,sedan,clean,4wd,gas,6800.0
70,1968.0,GMC,Pickup,,CE10DZB20609,excellent,122000,8,red,automatic,pickup,clean,rwd,gas,22500.0
71,2007.0,mini,cooper,,,good,109400,4,black,manual,hatchback,clean,fwd,gas,3800.0
72,2013.0,Mazda,CX-5,,,good,112339,4,black,manual,,clean,,gas,8000.0
73,2004.0,ford,focus,,,excellent,62623,4,white,automatic,sedan,clean,fwd,gas,3850.0
74,1972.0,Chevy,K5,Blazer,,good,85660,8,green,manual,SUV,clean,4wd,gas,30000.0
75,2005.0,chevy,trailblazer,ls,,good,171936,6,white,automatic,SUV,clean,rwd,gas,3000.0
76,1969.0,volkswagen,karmann,ghia,,good,32000,4,blue,manual,coupe,clean,rwd,gas,14999.0
77,2004.0,land,rover,discovery,SALTY19464A859118,excellent,142000,8,green,automatic,SUV,clean,4wd,gas,8500.0
78,1971.0,Chevy,Nova,,,excellent,32244,,red,automatic,,clean,,gas,26500.0
79,2011.0,audi,a4,,,good,122700,4,black,automatic,sedan,clean,fwd,gas,5500.0
80,2012.0,chevrolet,suburban,lt,,excellent,148059,8,,automatic,,salvage,,gas,10500.0
82,2013.0,fiat,500,abarth,3C3CFFJH6DT664884,excellent,49600,,black,manual,convertible,clean,,gas,10000.0
83,2013.0,nissan,murano,sv,,good,109511,6,silver,automatic,SUV,clean,4wd,gas,10498.0
84,2001.0,Mercedes,Benz,E320,WDBJF65J81B237511,excellent,66655,6,silver,automatic,sedan,clean,rwd,gas,8995.0
85,2008.0,acura,tl,type,,fair,118000,6,black,automatic,,clean,fwd,gas,7000.0
86,2009.0,subaru,impreza,outback,JF1GH63629G811609,good,83060,4,black,manual,hatchback,clean,4wd,gas,6300.0
87,2014.0,mercedes,e350,,WDDKJ5KB1EF277168,excellent,26900,6,white,automatic,coupe,clean,rwd,gas,22999.0
88,2011.0,audi,q5,2.0t,,excellent,120000,,silver,automatic,,clean,,gas,8900.0
89,2011.0,hyundai,sonata,,,excellent,113000,,,automatic,,clean,,gas,5900.0
90,2017.0,toyota,tundra,limited,,like,27162,8,black,automatic,truck,clean,4wd,gas,39800.0
91,2006.0,honda,odyssey,,5FNRL38466B437731,good,164500,6,grey,automatic,,clean,,gas,5000.0
