,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2018.0,chevrolet,silverado,1500,,like,46200,8,silver,automatic,truck,clean,4wd,gas,33500.0
2,2008.0,Toyota,Rav4,,,excellent,140012,4,silver,automatic,SUV,clean,fwd,gas,7990.0
3,2014.0,lincoln,mkz,hybrid,3LN6L2LU9ER830412,excellent,89250,4,grey,automatic,,clean,fwd,hybrid,12500.0
4,2003.0,nissan,pathfinder,,,excellent,140000,,,automatic,,clean,,gas,3900.0
5,2014.0,chevy,cruze,,,good,64000,4,grey,automatic,sedan,clean,fwd,gas,7500.0
6,2006.0,toyota,highlander,,,good,243000,6,white,automatic,SUV,clean,,gas,2200.0
7,1975.0,chevy,k5,blazer,,good,130000,8,brown,automatic,,clean,4wd,gas,11000.0
8,2002.0,jeep,liberty,limited,,salvage,195000,6,red,automatic,SUV,salvage,4wd,gas,1000.0
10,2015.0,hyundai,sonata,,,excellent,62000,4,silver,automatic,sedan,salvage,fwd,gas,8000.0
11,2007.0,bmw,335i,,,excellent,105000,,white,automatic,,clean,,gas,7500.0
12,2016.0,GMC,YUKON,,,excellent,91870,8,silver,automatic,SUV,clean,rwd,gas,35500.0
13,2008.0,Mercedes,Benz,E350,,good,77600,6,black,automatic,sedan,clean,rwd,gas,8700.0
14,2001.0,gmc,yukon,xl,,excellent,124718,8,,automatic,SUV,clean,rwd,gas,8000.0
15,1980.0,Jeep,CJ-5,,,excellent,50000,6,brown,automatic,,clean,4wd,gas,24900.0
16,2002.0,Toyota,Sienna,,,,200000,,,automatic,,clean,,gas,1850.0
17,2012.0,Mercedes,Sprinter,2500,,,184000,,,automatic,,clean,,diesel,27000.0
18,2008.0,Nissan,Altima,,,excellent,84967,4,white,automatic,sedan,clean,fwd,gas,800.0
20,2006.0,ford,mustang,,,like,140000,6,,manual,,clean,rwd,gas,5000.0
21,2002.0,Honda,civic,1.7,,excellent,171000,4,silver,automatic,sedan,clean,fwd,gas,1550.0
22,2009.0,honda,accord,,,fair,186000,4,red,automatic,sedan,clean,fwd,gas,5250.0
23,2003.0,honda,odyssey,,,,160000,,,automatic,,clean,,gas,3400.0
24,2003.0,Volkswagen,Eurovan,MV,WV2MB470X3H000734,excellent,182996,6,white,automatic,van,clean,fwd,gas,16500.0
25,1994.0,bluebird,tc2000,,,,180000,,blue,manual,,clean,,diesel,5800.0
26,2013.0,hyundai,sonata,,,excellent,88000,4,white,automatic,sedan,clean,fwd,gas,1.0
27,1998.0,Chevy,Astro,Van,,fair,185539,8,green,automatic,mini-van,clean,rwd,gas,1500.0
28,2010.0,volkswagen,jetta,,,good,175000,4,grey,automatic,sedan,clean,fwd,gas,3700.0
29,2016.0,Toyota,4runner,,JTEBU5JR5G5398029,excellent,58050,6,black,automatic,,clean,4wd,gas,40000.0
30,2005.0,bmw,330i,,,,123000,,,automatic,,salvage,,gas,5000.0
