,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2010.0,cadillac,escalade,,,good,112000,8,black,automatic,SUV,clean,4wd,gas,15000.0
1,2015.0,nissan,frontier,,,,284975,,,automatic,,clean,,gas,5000.0
2,2019.0,Ford,Ranger,,,,7000,,,automatic,,rebuilt,,gas,21700.0
3,2014.0,Volkswagen,Touareg,,WVGDP9BP2ED013436,excellent,93000,6,black,automatic,SUV,clean,4wd,diesel,20900.0
4,2013.0,Toyota,corolla,s,,excellent,127500,4,red,automatic,sedan,clean,fwd,gas,9995.0
5,2014.0,dodge,avenger,,1C3CDZAG4EN225408,like,49000,6,black,automatic,sedan,salvage,,gas,5800.0
6,2010.0,Mini,Cooper,,WMWMF3C56ATZ65810,,115000,,,automatic,,clean,,gas,4700.0
7,2020.0,Toyota,tundra,,,like,17509,8,white,automatic,truck,clean,4wd,gas,53900.0
8,2008.0,Toyota,4runner,,,excellent,207000,8,white,automatic,SUV,clean,4wd,gas,19500.0
10,2005.0,chevrolet,trailblazer,ext,,good,172000,6,silver,automatic,SUV,clean,,gas,2950.0
11,2009.0,Honda,Civic,LX,,good,164695,4,custom,automatic,sedan,clean,fwd,gas,4500.0
12,1984.0,Volkswagen,VANAGON,WESTFALIA,WV2ZB0254EH093674,excellent,16800,4,white,manual,bus,salvage,rwd,gas,18900.0
13,2012.0,mercedes,benz,cls63,,,108000,,black,automatic,,clean,,gas,26000.0
14,2014.0,buick,enclave,,,,94000,,,automatic,,salvage,,gas,9500.0
15,2018.0,Ford,escape,,,,75000,,,automatic,,clean,,gas,7800.0
16,2018.0,Ford,FOCUS,TITANIUM,,like,39985,4,,automatic,,salvage,,gas,9995.0
17,2004.0,Bmw,x3,2.5i,,excellent,123,6,white,automatic,SUV,clean,,gas,4300.0
18,2010.0,Ford,edge,sel,,excellent,107000,6,,automatic,,clean,fwd,gas,4500.0
19,2008.0,saturn,outlook,xe,,excellent,127000,6,blue,automatic,SUV,clean,rwd,gas,4600.0
20,2006.0,Ford,freestyle,sel,,,132000,,,automatic,,clean,,gas,3399.0
21,2003.0,Honda,crv,,,good,201000,4,,automatic,,clean,,gas,2900.0
22,2016.0,Toyota,prius,,,excellent,49000,4,white,automatic,hatchback,salvage,fwd,hybrid,10999.0
23,1993.0,alfa,romeo,,,excellent,89620,,black,automatic,sedan,clean,,gas,4500.0
24,2012.0,fiat,500,,,good,130000,4,silver,automatic,sedan,clean,,gas,4000.0
25,1998.0,Honda,Accord,EX,,excellent,81000,6,black,automatic,coupe,clean,fwd,gas,7500.0
26,2003.0,Honda,cr-v,,,good,195034,4,,automatic,SUV,clean,4wd,gas,3800.0
27,2011.0,nissan,sentra,,,excellent,106000,4,blue,automatic,sedan,clean,,gas,3700.0
28,2000.0,Ford,f-250,super,,good,204000,10,black,automatic,truck,clean,rwd,gas,6000.0
29,2010.0,blue,bird,all,,excellent,136000,6,white,automatic,bus,clean,rwd,diesel,11900.0
30,2004.0,nissan,sentra,,,like,135000,4,,automatic,sedan,clean,fwd,gas,3200.0
31,2007.0,nissan,versa,,,excellent,143761,,,automatic,,clean,,gas,3400.0
32,2014.0,Honda,civic,,,good,100000,4,,automatic,,clean,,gas,7900.0
33,2009.0,Toyota,yaris,,,like,140000,4,,automatic,,clean,,gas,4200.0
34,1999.0,Ford,ranger,xlt,,fair,214000,4,black,automatic,truck,clean,rwd,gas,3800.0
35,2006.0,Hyundai,accent,,,,102736,4,,automatic,,clean,,gas,3500.0
36,2008.0,Tahoe,yukon,escalade,,,103,,,automatic,,clean,,gas,8500.0
37,2016.0,Bmw,535I,M,WBA5B1C54GG553231,excellent,38587,6,grey,automatic,sedan,clean,4wd,gas,27500.0
38,2013.0,Toyota,corolla,le,,good,115000,4,,automatic,sedan,clean,fwd,gas,7400.0
39,2002.0,mercedes,benz,c240,,excellent,83000,6,green,automatic,,clean,rwd,gas,5000.0
42,1996.0,Jeep,cherokee,sport,,good,166000,4,white,manual,,salvage,,gas,4500.0
43,2018.0,hyundai,Santa,Fe,KM8SM4HF4JU261022,like,13439,6,silver,automatic,SUV,clean,fwd,gas,26000.0
44,1988.0,Ford,E350,,,good,153000,4,green,manual,truck,clean,,diesel,10000.0
45,2008.0,mercedes,benz,GL450,4JGBF71E68A352866,good,164975,,black,automatic,SUV,clean,,gas,6000.0
46,2004.0,Toyota,Nissan,honda,,,90000,,,other,,clean,,gas,35.0
47,1994.0,Ford,f-150,,,good,210000,8,blue,automatic,truck,clean,rwd,gas,3100.0
48,2001.0,Ford,TAURUS,SES,,excellent,99200,6,blue,automatic,sedan,clean,fwd,gas,2490.0
49,2018.0,Ford,f-150,,,,8500,,,automatic,,clean,,gas,32000.0
50,2007.0,Jeep,grand,cherokee,,,145000,8,,automatic,,salvage,,gas,1.0
51,2003.0,Bmw,x5,,,excellent,185000,6,,automatic,,clean,rwd,gas,4000.0
53,2013.0,lincoln,mkz,,3LN6L2LU3DR816861,like,140000,4,white,automatic,sedan,clean,fwd,hybrid,8950.0
54,2006.0,Lexus,gs,300,,excellent,116600,,grey,automatic,,clean,rwd,gas,7500.0
55,2011.0,Ford,ranger,,1FTKR1AD6BPB22863,good,107000,4,white,manual,truck,clean,,gas,8800.0
56,2017.0,Kia,forte,,3KPFK4A76HE107595,good,71848,4,silver,automatic,sedan,clean,fwd,gas,8800.0
57,2008.0,Volkswagen,Beetle,S,,,63000,,,automatic,,salvage,,gas,3450.0
58,2013.0,Volkswagen,jetta,sportwagen,,,64000,,white,automatic,,clean,,diesel,13500.0
59,2015.0,nissan,sentra,,,good,84000,4,,automatic,,salvage,,gas,5600.0
60,2009.0,Honda,civic,,,excellent,163000,4,black,automatic,sedan,clean,fwd,gas,5500.0
61,2000.0,Toyota,4runner,,JT3GM84R9Y0054617,,280000,4,white,automatic,SUV,clean,,gas,1300.0
62,2008.0,Toyota,corolla,ce,,excellent,115118,4,grey,automatic,sedan,clean,fwd,gas,4450.0
63,2008.0,Jeep,Grand,Cherokee,,like,172000,6,silver,automatic,,clean,,gas,5000.0
64,2004.0,Bmw,328i,,,excellent,146000,6,silver,automatic,sedan,clean,rwd,gas,2500.0
65,2001.0,Mercedes,C240,,,,150000,,,automatic,,clean,,gas,3500.0
66,2014.0,Toyota,prius,,,excellent,160000,4,,automatic,,clean,,gas,7700.0
67,2000.0,nissan,frontier,,,good,224469,6,silver,automatic,truck,clean,rwd,gas,3800.0
68,2016.0,Ford,Transit,T-150,,salvage,8000,8,white,automatic,,salvage,fwd,gas,18770.0
69,2011.0,Ford,f-150,,,excellent,124400,6,custom,automatic,truck,clean,rwd,gas,14900.0
70,2001.0,Kia,optima,,,excellent,74000,4,green,automatic,sedan,clean,fwd,gas,1975.0
71,2013.0,Ford,f-150,FX2,,excellent,106000,6,black,automatic,pickup,clean,rwd,gas,26500.0
72,2014.0,Audi,a4,,,excellent,60200,4,grey,automatic,sedan,lien,fwd,gas,16200.0
73,2011.0,hyndai,elantra,,,excellent,91000,4,black,automatic,hatchback,clean,fwd,gas,4500.0
74,2016.0,Honda,pilot,ex-l,,excellent,52500,6,grey,manual,SUV,clean,fwd,gas,22777.0
75,2008.0,Ford,Escape,,,excellent,73834,4,grey,manual,SUV,clean,fwd,gas,5000.0
76,2006.0,Toyota,corolla,s,,good,90000,4,silver,automatic,,clean,,gas,5900.0
77,1997.0,chevy,suburban,1500,,good,200000,8,blue,automatic,,clean,,gas,850.0
78,2013.0,fiat,500,pop,,excellent,77000,4,white,manual,hatchback,clean,fwd,gas,3200.0
79,2011.0,mercedes,benz,ml350,,excellent,188670,6,blue,automatic,SUV,clean,4wd,diesel,9950.0
80,2012.0,Toyota,rav4,ev,2T3YL4DVXCW001325,excellent,63878,,white,automatic,,clean,,electric,12000.0
82,2013.0,Lexus,ES,300H,,excellent,157772,4,,automatic,sedan,clean,,gas,10500.0
83,2005.0,hyundai,tiburon,gt,,,175000,,,automatic,,clean,,gas,1900.0
