,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2006.0,ford,fusion,se,,good,123000,6,white,automatic,sedan,clean,,gas,2500.0
1,2010.0,toyota,corolla,,,like,157510,4,white,automatic,sedan,clean,fwd,gas,5995.0
2,2005.0,BMW,X5,,,fair,120000,6,white,automatic,SUV,salvage,4wd,gas,2000.0
3,1996.0,Toyota,tacoma,,4TAVL52N5TZ094956,good,246733,,red,manual,pickup,clean,rwd,gas,3600.0
4,2007.0,toyota,rav4,,,good,162435,,,automatic,,clean,,gas,5800.0
5,2008.0,toyota,tundra,,5TFRV541X8X048391,good,135000,8,red,automatic,pickup,clean,rwd,gas,13500.0
6,2003.0,VOLKSWAGEN,PASSAT,W8,,fair,160000,8,silver,manual,,clean,4wd,gas,3000.0
7,2013.0,nissan,altima,,,like,148960,4,grey,automatic,sedan,clean,fwd,gas,6995.0
8,2008.0,audi,a4,2.0t,,excellent,94537,,silver,automatic,sedan,clean,,gas,5500.0
9,2004.0,gmc,savana,2500,,excellent,48069,,white,automatic,,clean,rwd,gas,6500.0
10,2011.0,nissan,murano,le,,like,140772,6,black,automatic,SUV,clean,fwd,gas,7995.0
11,2006.0,bmw,3,series,WBAVB13586KX69319,excellent,122110,6,grey,automatic,sedan,clean,rwd,gas,5650.0
12,2014.0,mercedes,benz,cla250,,like,36500,4,white,automatic,coupe,clean,,gas,18000.0
13,2005.0,chevy,colorado,,,good,196000,5,red,automatic,pickup,clean,rwd,gas,6500.0
14,1969.0,pontiac,firebird,,,excellent,160000,8,blue,automatic,convertible,clean,fwd,gas,22000.0
15,2008.0,nissan,altima,,,,168000,,,automatic,,clean,,gas,4800.0
16,2002.0,Honda,Accord,EX,12345678901234567,,170000,4,black,manual,coupe,clean,fwd,gas,3200.0
17,2010.0,nissan,murano,le,,like,130208,6,red,automatic,SUV,clean,fwd,gas,7499.0
18,1991.0,toyota,4runner,sr5,,,200000,,,automatic,,clean,,gas,4500.0
19,2013.0,subaru,forester,2.5x,JF2SHADC7DG419554,excellent,126000,4,white,manual,SUV,clean,4wd,gas,10000.0
20,2001.0,bmw,3,series,,good,131000,6,,automatic,coupe,clean,,gas,3950.0
21,2009.0,audi,a4,,,,115550,4,,automatic,,clean,,gas,2000.0
22,2017.0,maserati,ghibli,,ZAM57XSL1H1226311,excellent,54400,6,white,automatic,sedan,clean,rwd,gas,33000.0
23,2004.0,bmw,m3,convertible,WBSBR93474PK07105,good,140000,6,white,manual,convertible,clean,rwd,gas,12000.0
24,2019.0,Tesla,model,3,,like,30517,,white,other,,clean,,electric,34000.0
25,2011.0,bmw,3,series,,like,147344,6,silver,automatic,coupe,clean,rwd,gas,6995.0
26,2004.0,jaguar,x-type,,,excellent,71000,6,custom,automatic,sedan,clean,4wd,gas,4900.0
27,2014.0,chevrolet,sonic,lt,,good,60634,4,grey,automatic,sedan,clean,fwd,gas,6800.0
28,2007.0,toyota,prius,,,,188121,4,green,automatic,hatchback,clean,,gas,3999.0
29,1992.0,toyota,4runner,limited,,excellent,168000,,,automatic,,clean,,gas,6900.0
30,2017.0,Dodge,Ram,,,,38000,,,automatic,,clean,,gas,700.0
31,2006.0,subaru,forester,,,good,187393,4,grey,manual,,clean,,gas,2000.0
32,2013.0,mazda,3,,,like,163374,4,blue,automatic,sedan,clean,fwd,gas,5799.0
33,2003.0,gmc,yukon,xl,,good,230000,8,,automatic,SUV,clean,rwd,gas,3400.0
34,1959.0,Chevy,Apache,,36597111189,,9999999,6,,manual,,clean,,gas,1.0
35,1986.0,volvo,240,dl,,excellent,180000,4,yellow,automatic,sedan,clean,rwd,gas,3500.0
36,2006.0,chevy,silverado,1500,,fair,115000,8,white,automatic,pickup,clean,rwd,gas,4200.0
37,1985.0,El,Camino,Conquista,,good,140000,,,automatic,,clean,,gas,2500.0
38,2010.0,ford,escape,xlt,,excellent,119000,6,white,automatic,SUV,clean,4wd,gas,6900.0
39,2003.0,toyota,rav4,,,like,165000,4,silver,automatic,SUV,clean,4wd,gas,5988.0
40,2007.0,honda,pilot,exl,,good,152000,6,grey,automatic,SUV,clean,fwd,gas,6250.0
41,2008.0,jeep,grand,cherokee,,fair,277000,,,automatic,,clean,,gas,3000.0
42,2007.0,toyota,matrix,M,,excellent,60500,4,blue,automatic,hatchback,salvage,,gas,6500.0
43,2000.0,mercedes,benz,e320,,,121900,,,automatic,,clean,,gas,2950.0
44,2020.0,toyota,corolla,,,like,33500,,black,automatic,sedan,clean,fwd,gas,21000.0
45,2008.0,lexus,es,350,,,143777,,,automatic,,salvage,,gas,5500.0
46,2008.0,FORD,F-350,Lariat,,excellent,58000,8,white,automatic,,clean,4wd,diesel,23500.0
47,1972.0,chevy,el,camino,,,12436,,,automatic,,clean,,gas,15000.0
48,2012.0,chevy,express,2500,,good,230000,,,automatic,,clean,,gas,5500.0
49,2009.0,BMW,335i,convertible,,excellent,98932,6,black,automatic,convertible,clean,,gas,10500.0
50,2006.0,chevy,silverado,2500HD,,,300000,,,automatic,,clean,,gas,3650.0
51,2020.0,Chevy,Corvette,,,,5000,,,automatic,,clean,,gas,80000.0
52,2013.0,toyota,prius,V,,like,54800,,,automatic,,clean,,hybrid,12000.0
53,1970.0,Ford,F350,,,fair,99860,8,,automatic,truck,clean,rwd,gas,2295.0
54,2010.0,Honda,Insight,,,good,104500,,black,automatic,,clean,,gas,4500.0
55,1998.0,toyota,camry,,,,130000,,,automatic,,salvage,,gas,2700.0
56,2004.0,bmw,330i,,WBAEV53404KM35353,good,216000,6,silver,automatic,sedan,clean,rwd,gas,3200.0
57,2003.0,Ford,F-150,,,fair,298000,8,,automatic,,clean,rwd,gas,1500.0
58,2012.0,Toyota,FJ,Cruiser,,excellent,102000,6,white,automatic,offroad,salvage,4wd,gas,26000.0
60,2007.0,lexus,rx,350,,excellent,89641,6,custom,automatic,SUV,clean,4wd,gas,9850.0
